City,Latitude,Longitude,Population
Nouakchott,18.0783,-15.9744,1077169
Nema,16.6171,-7.2500,200000
Nouadhibou,20.9500,-17.0333,118000
Kiffa,16.6164,-11.4044,110714
Zouerate,22.7344,-12.4725,56345
Rosso,16.5128,-15.8050,47203
Atar,20.5167,-13.0500,24021
Tidjikja,18.5500,-11.4166,19981
Aleg,17.0580,-13.9090,8388
Arafat,18.0583,-15.9621,
Tevragh Zeina,18.0989,-15.9885,
Dar Naim,18.0973,-15.9327,
Aioun,16.6667,-9.6167,1423
Selibaby,15.1670,-12.1833,460
Akjoujt,19.7470,-14.3910,370
Kaedi,16.1503,-13.5037,
Boutilimit,17.5504,-14.7000,14142
Bogue,16.5904,-14.2700,10415
Timbedgha,16.2447,-8.1675,245
Chegga,25.3719,-5.7867,10
Fderik,22.6790,-12.7070,5760
Bir Mogrein,25.2333,-11.5833,10
