City,Latitude,Longitude,Population
Mexico City,19.4333,-99.1333,20996000
Guadalajara,20.6767,-103.3475,5253000
Monterrey,25.6667,-100.3000,4295000
Tijuana,32.5250,-117.0333,2384609
Ecatepec,19.6097,-99.0600,1656107
Puebla,19.0333,-98.1833,1576259
Leon de los Aldama,21.1167,-101.6833,1454793
Juarez,31.7386,-106.4870,1321004
Zapopan,20.7167,-103.4000,1155790
Ciudad Nezahualcoyotl,19.4100,-99.0300,1109363
Nezahualcoyotl,19.4000,-98.9889,1110565
Mexicali,32.6633,-115.4678,1102342
Aguascalientes,21.8760,-102.2960,934424
Merida,20.9700,-89.6200,892363
Chihuahua,28.6353,-106.0889,878062
Naucalpan de Juarez,19.4753,-99.2378,833779
San Luis Potosi,22.1511,-100.9761,824229
Toluca,19.2925,-99.6569,819561
Queretaro,20.5875,-100.3928,804663
Hermosillo,29.0989,-110.9542,812229
Saltillo,25.4333,-101.0000,807537
Morelia,19.7683,-101.1894,784776
Culiacan,24.8069,-107.3939,785800
Tlalnepantla,19.5367,-99.1947,750224
Cancun,21.1606,-86.8475,743626
Reynosa,26.0922,-98.2778,725793
Guadalupe,25.6775,-100.2597,691931
Acapulco de Juarez,16.8636,-99.8825,687608
Torreon,25.5394,-103.4486,679288
Durango,24.0167,-104.6667,654876
Villahermosa,17.9892,-92.9281,640359
Chimalhuacan,19.4167,-98.9000,614453
Tuxtla,16.7528,-93.1167,598710
Tlaquepaque,20.6167,-103.3167,575942
Tlajomulco de Zuniga,20.4736,-103.4431,549442
Veracruz,19.1903,-96.1533,552156
Xalapa,19.5400,-96.9275,525147
Ensenada,31.8578,-116.6058,522768
Ciudad Apodaca,25.7833,-100.1833,523370
Heroica Matamoros,25.8797,-97.5042,520367
Cuautitlan Izcalli,19.6500,-99.2500,511675
Mazatlan,23.2200,-106.4200,502547
Mazatan,29.0167,-110.1333,500000
Ixtapaluca,19.3186,-98.8822,495563
Ciudad Lopez Mateos,19.5500,-99.2833,489937
Tultitlan de Mariano Escobedo,19.6450,-99.1694,486998
