City,Latitude,Longitude,Population
Chisinau,47.0056,28.8575,685900
Tiraspol,46.8319,29.5767,157000
Balti,47.7617,27.9289,144800
Bender,46.8333,29.4833,91882
Ungheni,47.2042,27.7958,30804
Cahul,45.9075,28.1944,30018
Soroca,48.1558,28.2975,22196
Orhei,47.3831,28.8231,21065
Comrat,46.3003,28.6572,20113
Straseni,47.1414,28.6103,18376
Causeni,46.6442,29.4139,15939
Edinet,48.1681,27.3050,15520
Drochia,48.0308,27.8126,13150
Ialoveni,46.9431,28.7778,12515
Hincesti,46.8258,28.5936,12491
Singerei,47.6406,28.1419,12465
Taraclia,45.9000,28.6689,12355
Falesti,47.5736,27.7092,12074
Floresti,47.8933,28.3014,11998
Cimislia,46.5200,28.7842,11997
Rezina,47.7492,28.9622,11032
Anenii Noi,46.8817,29.2308,10872
Calarasi,47.2544,28.3081,10808
Nisporeni,47.0814,28.1783,10063
Riscani,47.9561,27.5536,9259
Glodeni,47.7708,27.5144,8676
Basarabeasca,46.3333,28.9667,8471
Leova,46.4786,28.2553,7443
Briceni,48.3628,27.0850,7314
Ocnita,48.4167,27.4833,7254
Telenesti,47.4997,28.3656,7227
Donduseni,48.2244,27.5853,7101
Stefan Voda,46.5153,29.6631,7078
Criuleni,47.2167,29.1614,6708
Soldanesti,47.8153,28.7967,5883
Cantemir,46.2781,28.2008,3429
Cocieri,47.3087,29.1101,
Ribnita,47.7664,29.0006,56988
Dubasari,47.2667,29.1667,28500
Durlesti,47.0178,28.7625,17210
Codru,46.9753,28.8194,15934
Ceadir-Lunga,46.0550,28.8303,16605
Vulcanesti,45.6842,28.4028,12185
Cricova,47.1389,28.8614,10669
Dnestrovsc,46.6222,29.9133,10436
Singera,46.9131,28.9775,9966
Grigoriopol,47.1536,29.2964,9381
Camenca,48.0333,28.7000,8871
Cupcini,48.1108,27.3853,7190
Otaci,48.4300,27.7939,6043
Vadul lui Voda,47.0917,29.0756,5295
Lipcani,48.2653,26.8039,5500
Tvardita,46.1547,28.9656,5420
