City,Latitude,Longitude,Population
Casablanca,33.5992,-7.6200,4370000
Rabat,34.0253,-6.8361,1628000
Fes,34.0433,-5.0033,1112072
Tangier,35.7847,-5.8125,947952
Marrakech,31.6295,-7.9811,928850
Sale,34.0500,-6.8167,850403
Meknes,33.8833,-5.5500,520428
Oujda-Angad,34.6867,-1.9114,494252
Kenitra,34.2500,-6.5833,431282
Agadir,30.4167,-9.5833,421844
Tetouan,35.5667,-5.3667,380787
Temara,33.9234,-6.9076,313510
Ksar El Kebir,35.0204,-5.9100,306600
Safi,32.2833,-9.2333,308508
Mohammedia,33.6833,-7.3833,208612
El Jadid,33.2333,-8.5000,194934
Ait Melloul,30.3342,-9.4972,171847
Nador,35.1667,-2.9333,161726
Taza,34.2144,-4.0088,148456
Settat,33.0023,-7.6198,142250
Barrechid,33.2700,-7.5872,136634
Al Khmissat,33.8100,-6.0600,131542
Khenifra,32.9300,-5.6600,117510
Larache,35.2004,-6.1600,120082
Guelmim,28.9833,-10.0667,118318
Taourirt,34.4100,-2.8900,103398
Bouskoura,33.4489,-7.6486,103026
Oued Zem,32.8600,-6.5600,95267
Sidi Slimane,34.2600,-5.9300,92989
Errachidia,31.9319,-4.4244,92374
Guercif,34.2300,-3.3600,90880
Lqoliaa,30.2942,-9.4544,83235
Sidi Qacem,34.2100,-5.7000,75672
Warzat,30.9167,-6.9167,71067
Youssoufia,32.2500,-8.5300,67628
Ouezzane,34.8000,-5.6000,59606
Benslimane,33.6122,-7.1211,57101
Boujad,32.7600,-6.4000,46893
Ain El Aouda,33.8111,-6.7922,49816
Al Aaroui,35.0104,-3.0073,47599
Jerada,34.3100,-2.1600,43506
El Aioun,34.5853,-2.5056,41832
Zaio,34.9396,-2.7334,35806
Zeghanghane,35.1575,-3.0017,34025
Ahfir,34.9514,-2.1025,19630
Goulmima,31.6944,-4.9592,16419
Ar Rommani,33.5333,-6.6000,12297
Beni Mellal,32.3373,-6.3498,
Tiflet,33.9000,-6.3300,86709
Taroudannt,30.4711,-8.8778,80149
Sefrou,33.8300,-4.8300,79887
Essaouira,31.5130,-9.7687,77966
Tan-Tan,28.4333,-11.1000,73209
Skhirate,33.8500,-7.0300,59775
Tiznit,29.7104,-9.7400,57705
Beni Enzar,35.2569,-2.9342,56582
Chefchaouene,35.1714,-5.2697,42786
Temsia,30.3633,-9.4144,40780
Taounate,34.5358,-4.6400,37616
Bou Ahmed,33.1119,-7.4058,33105
Bouknadel,34.1245,-6.7480,25255
Zawyat an Nwacer,33.3611,-7.6114,23802
Sidi Ifni,29.3833,-10.1667,21618
Selouane,35.0708,-2.9392,21570
Asni,31.2500,-7.9792,21244
El Harhoura,33.9500,-6.9300,15361
Ifrane,33.5333,-5.1167,14659
Aghbal,34.9382,-2.1455,14908
Boumalne,31.3738,-5.9956,12328
Bni Drar,34.8281,-1.9936,10934
Aj Jourf,31.4903,-4.4014,12302
Lafrayta,31.9320,-7.2600,11298
Figuig,32.1167,-1.2269,10872
Oued Laou,35.4500,-5.0833,9665
Saidia,35.0850,-2.2392,8780
Ras Kebdana,35.1333,-2.4167,7580
Ghafsai,34.6245,-4.9112,6361
Ajdir,35.1930,-3.9120,5314
