City,Latitude,Longitude,Population
Maputo,-25.9153,32.5764,1191613
Matola,-25.9667,32.4667,1032197
Nampula,-15.1167,39.2667,477900
Beira,-19.8333,34.8500,439264
Chimoio,-19.1167,33.4500,238976
Cidade de Nacala,-14.5186,40.7150,224795
Sacala,-14.4500,40.6667,206449
Quelimane,-17.8764,36.8872,192876
Tete,-16.1579,33.5898,152909
Pemba,-12.9667,40.5167,141316
Lichinga,-13.3000,35.2456,142253
Xai-Xai,-25.0500,33.6500,116343
Maxixe,-23.8597,35.3472,108824
Inhambane,-23.8650,35.3833,63837
Dondo,-19.6167,34.7500,78648
Cuamba,-14.8200,36.5486,73268
Montepuez,-13.1167,39.0000,72279
Mocuba,-16.8391,36.9855,69045
Mocuba,-16.8496,38.2600,68984
Manhica,-25.4000,32.8000,60031
Chibuto,-24.6867,33.5306,58012
Antonio Enes,-16.2308,39.9105,57835
Moatize,-16.1167,33.7500,42000
Mocimboa da Praia,-11.3500,40.3333,30950
Namaacha,-25.9667,32.0333,29272
Mocimboa,-11.3196,40.3500,27909
Macia,-25.0333,33.1000,23156
Mapai,-22.7306,32.0583,19932
Chinde,-18.5833,36.4667,16500
Ilha de Mocambique,-15.0367,40.7328,14000
Manica,-18.9344,32.8756,4000
Espungabera,-20.4531,32.7725,393
Vilankulo,-22.0000,35.3167,177
Marrupa,-13.1833,37.5000,8762
Nicoadala,-17.6077,36.8197,6945
Ligonha,-15.1757,37.7400,3500
Regedor Quissico,-24.7257,34.7660,1210
Massangena,-21.5373,32.9564,650
Panda,-24.0629,34.7303,602
Chiramba,-16.8921,34.6559,556
