City,Latitude,Longitude,Population
Windhoek,-22.5700,17.0836,322500
Rundu,-17.9167,19.7667,63431
Swakopmund,-22.6667,14.5333,34300
Katima Mulilo,-17.5039,24.2750,28699
Otjiwarongo,-20.4642,16.6528,28249
Rehoboth,-23.3167,17.0833,25219
Keetmanshoop,-26.5833,18.1333,18900
Gobabis,-22.4500,18.9667,16321
Mariental,-24.6333,17.9667,12478
Outapi,-17.5028,14.9856,4606
Opuwo,-18.0607,13.8400,4857
Oshakati,-17.8000,15.6833,
Eenhana,-17.4667,16.3333,
Omuthiya,-18.3592,16.5795,
Nkurenkuru,-17.6167,18.6000,
Walvisbaai,-22.9494,14.5069,85000
Grootfontein,-19.5658,18.1036,24099
Okahandja,-21.9796,16.9100,20879
Tsumeb,-19.2500,17.7167,14959
Oshikango,-17.3964,15.8903,12423
Luderitz,-26.6478,15.1578,12537
Ongwediva,-17.7833,15.7667,10964
Omaruru,-21.4183,15.9539,11547
Bethanie,-26.4995,17.1500,10363
Usakos,-22.0000,15.6000,9147
Outjo,-20.1069,16.1503,6557
Karasburg,-28.0172,18.7478,6054
Oranjemund,-28.5500,16.4333,3900
Otavi,-19.6381,17.3403,4562
Karibib,-21.9390,15.8530,6898
Maltahohe,-24.8400,16.9400,2329
