City,Latitude,Longitude,Population
Kathmandu,27.7167,85.3667,975453
Pokhara,28.2097,83.9853,353841
Jitpur,27.6666,85.3333,337785
Biratnagar,26.4833,87.2833,242548
Bharatpur,27.6833,84.4333,143836
Birganj,27.0000,84.8667,135904
Butwal,27.7000,83.4500,118462
Dharan,26.8167,87.2667,116181
Dhangadhi,28.6833,80.6000,101970
Janakpur,26.7122,85.9217,97776
Hetauda,27.4167,85.0333,84671
Kirtipur,27.6667,85.2833,65602
Birendranagar,28.6000,81.6333,47914
Godawari,28.8755,80.5776,
Itahari,26.6667,87.2833,74501
Nepalganj,28.0500,81.6167,72503
Bhairahawa,27.5000,83.4500,63483
Tikapur,28.5000,81.1333,56127
Gulariya,28.2331,81.3331,55747
Tulsipur,28.1278,82.2956,51537
Hanumannagar,26.5394,86.7483,37738
Siraha,26.6528,86.2069,28442
Palpa,27.8667,83.5500,29095
Panauti,27.5833,85.5167,27358
Bidur,27.8900,85.1597,26750
Khadbari,27.3667,87.2167,26301
Malangawa,26.8667,85.5667,25102
Jaleshwar,26.6333,85.8000,23533
Baglung,28.2667,83.5833,23296
Dadeldhura,29.3000,80.6000,19014
Ilam,26.9080,87.9260,17491
Salyan,28.3500,82.1833,15000
Ramechhap,27.3260,86.0870,15000
Bhimphedi,27.5510,85.1300,15000
Charikot,27.6667,86.0333,7349
Jumla,29.2500,82.2167,9073
