City,Latitude,Longitude,Population
Auckland,-36.8500,174.7833,1467800
Wellington,-41.2889,174.7772,418500
Christchurch,-43.5309,172.6365,377200
Manukau City,-36.9833,174.8833,375600
Northcote,-36.7913,174.7758,205605
Waitakere,-36.8490,174.5430,208100
Hamilton,-37.7833,175.2833,169300
Tauranga,-37.6858,176.1667,135000
Dunedin,-45.8667,170.5000,126255
Lower Hutt,-41.2167,174.9167,103400
Palmerston North,-40.3549,175.6095,80300
Napier,-39.4833,176.9167,62800
Whangarei,-35.7250,174.3236,52600
Nelson,-41.2931,173.2381,49300
Invercargill,-46.4290,168.3620,48700
Gisborne,-38.6625,178.0178,35500
Blenheim,-41.5167,173.9500,26400
Richmond,-41.3333,173.1833,15000
Whakatane,-37.9640,176.9840,15850
Mosgiel,-45.8750,170.3480,13400
Greymouth,-42.4667,171.2000,8160
Stratford,-39.3410,174.2840,5740
Waitangi,-43.9510,-176.5610,300
Porirua,-41.1333,174.8500,55500
New Plymouth,-39.0578,174.0742,55300
Rotorua,-38.1378,176.2514,54500
Upper Hutt,-41.1333,175.0500,41000
Whanganui,-39.9333,175.0500,39400
Paraparaumu,-40.9167,175.0167,28900
Timaru,-44.4000,171.2500,28300
Pukekohe East,-37.1950,174.9481,26300
Taupo,-38.6900,176.0800,23900
Masterton,-40.9667,175.6500,20100
Cambridge,-37.8833,175.4667,19150
Levin,-40.6250,175.2833,17700
Ashton,-44.0330,171.7720,17700
Feilding,-40.2250,175.5650,16450
Macetown,-44.8650,168.8190,16600
Rolleston,-43.5960,172.3830,16350
Havelock North,-39.6667,176.8833,13950
Tokoroa,-38.2200,175.8720,13650
Waikanae,-40.8760,175.0640,12100
Te Awamutu,-38.0083,175.3250,12400
Hawera,-39.5833,174.2833,9810
Waiuku,-37.2500,174.7333,9660
Glencoe,-46.1920,168.6460,9750
Wanaka,-44.7081,169.1239,8900
Matamata,-37.8097,175.7733,7910
Te Puke,-37.7833,176.3167,8230
Thames,-37.1383,175.5375,7680
Ngaruawahia,-37.6680,175.1470,6580
Kawerau,-38.0847,176.6996,7080
Kerikeri,-35.2244,173.9514,6960
Waitara,-38.9958,174.2331,7040
Kaitaia,-35.1125,173.2628,5870
Lincoln,-43.6400,172.4860,6030
Alexandra,-45.2492,169.3797,5510
Marton,-40.0692,175.3783,5200
Whitianga,-36.8331,175.6997,5130
Tuakau,-37.2667,174.9500,5090
Cromwell,-45.0400,169.2000,5440
Waihi,-37.3930,175.8320,5310
Dargaville,-35.9333,173.8833,5170
Warkworth,-36.4000,174.6667,5320
Turangi,-38.9890,175.8100,3320
Westport,-41.7500,171.6000,4660
Renwick,-41.5099,173.8282,2928
Hokitika,-42.7167,170.9667,3090
Te Anau,-45.4167,167.7167,2250
Kaikoura,-42.4000,173.6814,2210
Halfmoon Bay,-46.8990,168.1270,310
Kairaki,-43.3850,172.7030,225
