City,Latitude,Longitude,Population
Managua,12.1500,-86.2667,1028808
Boaco,12.4722,-85.6586,317000
Leon,12.4333,-86.8833,174051
Matagalpa,12.9167,-85.9167,156218
Chinandega,12.6242,-87.1297,151707
Masaya,11.9667,-86.1000,139582
Jinotega,13.0833,-86.0000,136342
Esteli,13.0833,-86.3500,129924
Granada,11.9300,-85.9561,105171
Juigalpa,12.0833,-85.4000,60583
Jinotepe,11.8500,-86.2000,52175
Bluefields,12.0000,-83.7500,45547
Ocotal,13.6333,-86.4833,34580
Bilwi,14.0500,-83.3833,33600
Rivas,11.4404,-85.8200,31941
Somoto,13.4833,-86.5833,20300
San Carlos,11.2000,-84.8333,13451
Diriamba,11.8500,-86.2333,57512
Corinto,12.4833,-87.1833,22000
El Castillo de La Concepcion,11.0178,-84.4011,19864
San Juan del Sur,11.2500,-85.8600,7790
Greytown,10.9167,-83.7000,275
