City,Latitude,Longitude,Population
Niamey,13.5086,2.1111,1026848
Zinder,13.8000,8.9833,322935
Maradi,13.5000,7.1000,267249
Agadez,16.9959,7.9828,117770
Tahoua,14.9000,5.2599,115956
Dosso,13.0500,3.2000,49750
Diffa,13.3171,12.6089,30988
Tillaberi,14.2120,1.4531,19262
Arlit,18.8200,7.3300,100000
Birnin Konni,13.7904,5.2599,65252
Gaya,11.8878,3.4467,63815
Ayorou,14.7318,0.9195,26290
Madaoua,14.0762,5.9586,24804
Nguigmi,14.2532,13.1108,17897
Guidan Roumdji,13.6575,6.6958,17525
Baleyara,13.7841,2.9515,16063
Goure,13.9874,10.2700,14639
Bani Bangou,15.0408,2.7050,6788
Djado,21.0150,12.3075,10
