City,Latitude,Longitude,Population
Lagos,6.4500,3.4000,15279000
Onitsha,6.1667,6.7833,7635000
Kano,12.0000,8.5167,2828861
Ibadan,7.3964,3.9167,2628000
Owerri,5.4833,7.0333,1401873
Abuja,9.0556,7.4914,1235880
Maiduguri,11.8333,13.1500,1197497
Benin City,6.3176,5.6145,1190000
Ikare,7.5304,5.7600,1099931
Ogbomoso,8.1333,4.2500,1032000
Port Harcourt,4.7500,7.0000,1005904
Zaria,11.0667,7.7000,889000
Abeokuta,7.1500,3.3500,888924
Jos,9.9333,8.8833,873943
Ilorin,8.5000,4.5500,847582
Warri,5.5167,5.7500,830106
Kaduna,10.5231,7.4403,760084
Sokoto,13.0622,5.2339,732178
Oyo,7.8333,3.9333,736072
Enugu,6.4403,7.4942,715774
Bauchi,10.3158,9.8442,693700
Uyo,5.0080,7.8500,554906
Aba,5.1167,7.3667,500183
Ile-Ife,7.4667,4.5667,501952
Calabar,4.9500,8.3250,461796
Ado-Ekiti,7.6167,5.2167,446749
Katsina,12.9908,7.6017,432149
Akure,7.2500,5.1950,420594
Osogbo,7.7667,4.5667,408245
Yola,9.2000,12.4833,392854
Umuahia,5.5333,7.4833,359230
Sapele,5.8904,5.6800,309162
Minna,9.6139,6.5569,304113
Awka,6.2000,7.0667,301657
Makurdi,7.7300,8.5300,292645
Owo,7.2004,5.5900,276574
Gombe,10.2904,11.1700,270366
Ondo,7.0904,4.8400,257005
Damaturu,11.7500,11.9667,255895
Iwo,7.6300,4.1800,250443
Gusau,12.1704,6.6600,226857
Apapa,6.4489,3.3589,217362
Mubi,10.2686,13.2670,225705
Ijebu-Ode,6.8204,3.9200,209175
Funtua,11.5204,7.3200,180475
Bida,9.0804,6.0100,173849
Zango,12.9333,8.5333,154743
Lafia,8.4904,8.5200,127236
Gashua,12.8705,11.0400,125817
Bama,11.5204,13.6900,118121
Jalingo,8.9004,11.3600,117757
Nsukka,6.8567,7.3958,111017
Nguru,12.8804,10.4500,111014
Birnin Kebbi,12.4504,4.1999,108164
Azare,11.6804,10.1900,105687
Lokoja,7.8004,6.7399,60579
Dutse,11.7992,9.3503,17129
Ikeja,6.5965,3.3421,
Asaba,6.1833,6.7500,
Yenagoa,4.9267,6.2676,
Abakaliki,6.3249,8.1137,
Kontagora,10.4004,5.4699,98754
Iseyin,7.9667,3.6000,98071
Biu,10.6204,12.1900,95005
Wukari,7.8704,9.7800,92933
Keffi,8.8490,7.8736,85911
Potiskum,11.7104,11.0800,86002
Numan,9.4669,12.0328,77617
Idah,7.1104,6.7399,75087
Otukpo,7.1904,8.1300,68220
Kumo,10.0431,11.2183,35712
Ikot Abasi,4.5704,7.5600,34911
Koko,11.4232,4.5170,25792
Orlu,5.7837,7.0333,9351
