City,Latitude,Longitude,Population
Oslo,59.9111,10.7528,693494
Bergen,60.3925,5.3233,257087
Trondheim,63.4400,10.4000,183378
Stavanger,58.9701,5.7333,129300
Sorum,59.9135,11.3472,113659
Skien,59.2096,9.6090,73330
Bodo,67.2827,14.3751,41720
Tromso,69.6489,18.9551,38980
Arendal,58.4617,8.7721,30916
Hamar,60.7945,11.0680,27947
Molde,62.7483,7.1833,18594
Steinkjer,64.0147,11.4942,12985
Drammen,59.7572,10.1907,90722
Kristiansand,58.1467,7.9956,64057
Sandnes,58.8500,5.7333,58694
Tonsberg,59.2981,10.4236,56293
Sarpsborg,59.2839,11.1096,54678
Alesund,62.4723,6.1549,52163
Haugesund,59.4164,5.2700,45040
Sandefjord,59.1312,10.2166,44368
Moss,59.4370,10.6692,36901
Larvik,59.0532,10.0271,24647
Gjovik,60.8000,10.7000,22719
Harstad,68.7989,16.5314,21070
Lillehammer,61.1161,10.4578,20580
Mo i Rana,66.3167,14.1667,18899
Kristiansund,63.1105,7.7279,18273
Kongsvinger,60.1912,11.9992,17829
Alta,69.9686,23.2714,15342
Elverum,60.8833,11.5667,15117
Narvik,68.4363,17.3983,14148
Drobak,59.6667,10.6333,13393
Grimstad,58.3405,8.5934,13304
Egersund,58.4500,6.0067,11433
Levanger,63.7464,11.2996,10333
Forde,61.4519,5.8569,10339
Notodden,59.5594,9.2585,9072
Floro,61.5986,5.0172,8925
Namsos,64.4670,11.4940,8471
Hammerfest,70.6634,23.6821,8073
Akrehamn,59.2603,5.1856,7873
Lillesand,58.2488,8.3778,7930
Sandnessjoen,66.0167,12.6333,6052
Bronnoysund,65.4749,12.2120,5050
Vadso,70.0667,29.7500,4902
Svolvaer,68.2333,14.5667,4686
Finnsnes,69.2406,18.0086,3907
Kirkenes,69.7250,30.0517,3529
Rorvik,64.8680,11.2053,2615
Vossevangen,60.6300,6.4410,5571
Kaupanger,61.1833,6.8500,1965
