City,Latitude,Longitude,Population
Muscat,23.6139,58.5922,1421409
As Sib,23.6802,58.1825,237816
Salalah,17.0197,54.0897,178469
As Suwayhirah as Sahil,24.3620,56.7344,151349
`Ibri,23.2254,56.5170,101640
Nizwa,22.9333,57.5333,70000
Khasab,26.1833,56.2500,17777
Al Buraymi,24.2558,55.8025,
Suhar,24.3420,56.7299,
Ar Rustaq,23.3908,57.4244,
Sur,22.5667,59.5289,
Ibra',22.6906,58.5334,
Hayma',19.9333,56.3167,
Al Madrah Sama'il,23.3032,57.9782,47718
Dawwah,20.6330,58.9080,2000
Mirbat,16.9924,54.6918,1120
