City,Latitude,Longitude,Population
Karachi,24.8600,67.0100,14835000
Lahore,31.5497,74.3436,11021000
Sialkot City,32.5000,74.5333,3893672
Faisalabad,31.4180,73.0790,3203846
Rawalpindi,33.6007,73.0679,2098231
Peshawar,34.0000,71.5000,1970042
Saidu Sharif,34.7500,72.3572,1860310
Multan,30.1978,71.4711,1606481
Gujranwala,32.1500,74.1833,1569090
Islamabad,33.6989,73.0369,1365000
Quetta,30.1920,67.0070,1140000
Bahawalpur,29.3956,71.6722,681696
Sargodha,32.0836,72.6711,602631
New Mirpur,33.1333,73.7500,523500
Chiniot,31.7167,72.9833,477781
Sukkur,27.6995,68.8673,476776
Larkana,27.5600,68.2264,435817
Shekhupura,31.7083,74.0000,411834
Jhang City,31.2681,72.3181,365198
Rahimyar Khan,28.4202,70.2952,353203
Gujrat,32.5736,74.0789,328512
Kasur,31.1167,74.4500,314617
Mardan,34.1958,72.0447,300424
Mingaora,34.7717,72.3600,279914
Dera Ghazi Khan,30.0500,70.6333,264742
Nawabshah,26.2442,68.4100,263102
Sahiwal,30.6706,73.1064,247706
Mirpur Khas,25.5269,69.0111,236961
Okara,30.8100,73.4597,232386
Mandi Burewala,30.1500,72.6833,203454
Jacobabad,28.2769,68.4514,200815
Saddiqabad,28.3006,70.1302,189876
Kohat,33.5869,71.4414,170800
Muridke,31.8020,74.2550,163268
Muzaffargarh,30.0703,71.1933,163268
Khanpur,28.6471,70.6620,160308
Gojra,31.1500,72.6833,157863
Mandi Bahauddin,32.5861,73.4917,157352
Abbottabad,34.1500,73.2167,148587
Dadu,26.7319,67.7750,146179
Khuzdar,27.8000,66.6167,141395
Pakpattan,30.3500,73.4000,139525
Tando Allahyar,25.4667,68.7167,133487
Jaranwala,31.3342,73.4194,127973
Vihari,30.0419,72.3528,128034
Kamalia,30.7258,72.6447,121401
Kot Addu,30.4700,70.9644,120479
Nowshera,34.0153,71.9747,118594
Swabi,34.1167,72.4667,115018
Dera Ismail Khan,31.8167,70.9167,109686
Chaman,30.9210,66.4597,107660
Charsadda,34.1453,71.7308,105414
Kandhkot,28.4000,69.3000,105011
Hasilpur,29.6967,72.5542,99171
Muzaffarabad,34.3700,73.4711,96000
Mianwali,32.5853,71.5436,95007
Jalalpur Jattan,32.7667,74.2167,90130
Bhakkar,31.6333,71.0667,88472
Zhob,31.3417,69.4486,88356
Kharian,32.8110,73.8650,85765
Mian Channun,30.4397,72.3544,82586
Jamshoro,25.4283,68.2822,80000
Pattoki,31.0214,73.8528,77210
Harunabad,29.6100,73.1361,77206
Toba Tek Singh,30.9667,72.4833,75943
Shakargarh,32.2628,75.1583,73160
Hujra Shah Muqim,30.7333,73.8167,70204
Kabirwala,30.4068,71.8667,70123
Mansehra,34.3333,73.2000,69085
Lala Musa,32.7012,73.9605,67283
Nankana Sahib,31.4492,73.7124,63073
Bannu,32.9889,70.6056,62191
Timargara,34.8281,71.8408,58050
Parachinar,33.8992,70.1008,55685
Abdul Hakim,30.5522,72.1278,51494
Gwadar,25.1264,62.3225,51901
Hassan Abdal,33.8195,72.6890,50044
Tank,32.2167,70.3833,44996
Hangu,33.5281,71.0572,39766
Risalpur Cantonment,34.0049,71.9989,36653
Karak,33.1167,71.0833,35844
Kundian,32.4522,71.4718,35406
Umarkot,25.3614,69.7361,35059
Chitral,35.8511,71.7889,31100
Dainyor,35.9206,74.3783,25000
Kulachi,31.9286,70.4592,24738
Kotli,33.5156,73.9019,21462
Murree,33.9042,73.3903,20869
Mithi,24.7333,69.8000,20079
Gilgit,35.9208,74.3144,8851
