City,Latitude,Longitude,Population
Panama City,9.0000,-79.5000,880691
Colon,9.3598,-79.9004,241817
David,8.4333,-82.4333,144858
La Chorrera,8.8792,-79.7822,68896
Chitre,7.9667,-80.4333,46191
Santiago,8.1004,-80.9833,45955
Penonome,8.5100,-80.3600,28766
Bocas del Toro,9.3333,-82.2500,12996
Las Tablas,7.7667,-80.2833,9255
La Palma,8.3982,-78.1402,1845
Buabidi,8.4746,-81.6983,
Gaigirgordub,9.5500,-78.9667,10
Union Choco,8.0778,-77.5583,
Balboa,8.9571,-79.5593,62882
Pacora,9.0800,-79.2800,52494
Puerto Armuelles,8.2777,-82.8621,19763
Guabito,9.4949,-82.6117,8387
Almirante,9.3000,-82.4000,8114
Jaque,7.5190,-78.1660,1357
