City,Latitude,Longitude,Population
Port Moresby,-9.4789,147.1494,364125
Lae,-6.7333,146.9833,131052
Madang,-5.2248,145.7853,62023
Mount Hagen,-5.8667,144.2167,29765
Popondetta,-8.7656,148.2347,28198
Mendi,-6.1478,143.6572,26252
Wewak,-3.5500,143.6333,25143
Goroka,-6.0833,145.3833,21507
Kavieng,-2.5667,150.8000,19728
Kimbe,-5.5500,150.1430,18847
Daru,-9.0833,143.2000,12879
Alotau,-10.3167,150.4333,11624
Vanimo,-2.6817,141.3014,11204
Kundiawa,-6.0230,144.9600,9383
Lorengau,-2.0208,147.2667,5806
Kerema,-7.9270,145.8380,5646
Wabag,-5.4833,143.7000,3958
Kokopo,-4.3500,152.2736,
Kurumul,-5.8550,144.6311,
Tari,-5.8489,142.9506,
Buka,-5.4200,154.6700,
Arawa,-6.2280,155.5660,40266
Kiunga,-6.1167,141.3000,8265
Rabaul,-4.1981,152.1681,7024
Kieta,-6.2058,155.6227,6958
Sohano,-5.4297,154.6711,2338
Hoskins,-5.4746,150.4100,871
Amau,-10.0426,148.5650,230
