City,Latitude,Longitude,Population
Asuncion,-25.3000,-57.6333,1870000
San Lorenzo,-25.3431,-57.5094,387977
Ciudad del Este,-25.5167,-54.6167,304282
Encarnacion,-27.3333,-55.8667,136308
Pedro Juan Caballero,-22.5667,-55.7167,122190
Coronel Oviedo,-25.4500,-56.4400,88101
Concepcion,-23.4025,-57.4414,87215
Villarrica,-25.7500,-56.4333,41157
Salto del Guaira,-24.0200,-54.3400,37600
San Pedro de Ycuamandiyu,-24.1000,-57.0833,35021
Pilar,-26.8569,-58.3039,32810
Caacupe,-25.3870,-57.1400,21696
Paraguari,-25.6200,-57.1600,18881
Villa Hayes,-25.0900,-57.5300,15643
Filadelfia,-22.3400,-60.0300,10470
San Juan Bautista,-26.6800,-57.1500,7882
Caazapa,-26.2000,-56.3800,5504
Fuerte Olimpo,-21.0696,-57.9000,2475
Aregua,-25.3125,-57.3847,
Ita,-25.5096,-57.3600,41090
Yaguaron,-25.5621,-57.2840,32000
Ypacarai,-25.4100,-57.2800,30150
Tobati,-25.2600,-57.0814,23295
Bella Vista,-22.1296,-56.5200,16852
Horqueta,-23.3396,-57.0500,16171
Coronel Bogado,-27.1700,-56.2500,14297
Belen,-23.4695,-57.2400,11359
Hohenau,-27.0795,-55.7500,5306
Villa del Rosario,-24.4196,-57.1000,5123
Puerto Casado,-22.2896,-57.9400,5000
Arroyos y Esteros,-25.0500,-57.0900,3055
Abai,-26.0296,-55.9400,3024
Villa Ygatimi,-24.0796,-55.5000,2809
Mariscal Jose Felix Estigarribia,-22.0300,-60.6100,2500
Pozo Colorado,-23.4300,-58.8600,2135
Nacunday,-26.0200,-54.7699,1250
Capitan Pablo Lagerenza,-19.9161,-60.7833,1200
General Eugenio A. Garay,-20.5200,-62.2100,972
Ypejhu,-23.9100,-55.4600,600
Puerto Pinasco,-22.6400,-57.7900,500
