City,Latitude,Longitude,Population
Lima,-12.0500,-77.0333,9848000
Callao,-12.0611,-77.1333,1129854
Arequipa,-16.3988,-71.5369,1008290
Trujillo,-8.1119,-79.0289,919899
Chiclayo,-6.7630,-79.8366,552508
Chimbote,-9.0745,-78.5936,497875
Piura,-5.2008,-80.6253,473025
Cusco,-13.5183,-71.9781,428450
Huancayo,-12.0667,-75.2167,378203
Iquitos,-3.7333,-73.2500,377609
Pucallpa,-8.3833,-74.5500,326040
Juliaca,-15.4908,-70.1269,291189
Tacna,-18.0556,-70.2483,286240
Ica,-14.0667,-75.7333,282407
Tarapoto,-6.4833,-76.3667,240453
Huacho,-11.1083,-77.6083,200585
Cajamarca,-7.1644,-78.5106,201329
Huanuco,-9.9294,-76.2397,196627
Ayacucho,-13.1631,-74.2244,180766
Paita,-5.0667,-81.1000,179346
Sullana,-4.9000,-80.7000,162434
Huaycan,-12.0139,-76.8250,160000
Barranca,-10.7539,-77.7610,144381
Puno,-15.8433,-70.0236,128637
Huaraz,-9.5333,-77.5333,118836
Pisco,-13.7100,-76.2032,109965
Talara,-4.5833,-81.2667,103200
Tumbes,-3.5667,-80.4500,96946
Puerto Maldonado,-12.6000,-69.1833,85024
Abancay,-13.6333,-72.8833,72277
Moquegua,-17.2000,-70.9333,69882
Cerro de Pasco,-10.6864,-76.2625,58899
Moyobamba,-6.0333,-76.9667,50073
Huancavelica,-12.7850,-74.9714,49570
Chachapoyas,-6.2167,-77.8500,32026
Chosica,-11.9431,-76.7094,88606
Andahuaylas,-13.6575,-73.3833,80000
Huaral,-11.5000,-77.2167,79011
Chulucanas,-5.1092,-80.1625,68835
Ilo,-17.6486,-71.3306,66118
Chincha Alta,-13.4500,-76.1333,63671
Yurimaguas,-5.9000,-76.0833,62903
Lambayeque,-6.7000,-79.9000,58276
Sicuani,-14.2694,-71.2261,57551
Chota,-6.5614,-78.6486,54611
Tarma,-11.4167,-75.6833,54078
Jaen,-5.6992,-78.8009,52493
Tingo Maria,-9.3015,-76.0361,46191
Bagua Grande,-5.7572,-78.4453,40947
Huaura,-11.1000,-77.6000,40400
Juanjui,-7.1802,-76.7265,37715
Viru,-8.4143,-78.7524,36029
Forbe Oroya,-11.5333,-75.9000,33000
Chancay,-11.5653,-77.2714,32312
Ferrenafe,-6.6391,-79.7880,31777
Sechura,-5.5576,-80.8223,32144
Pativilca,-10.6996,-77.8000,31905
Huamachuco,-7.8121,-78.0487,30835
Huanta,-12.9397,-74.2475,30234
Casma,-9.4742,-78.3106,30000
Tocache Nuevo,-8.1886,-76.5103,29029
Mollendo,-17.0167,-72.0167,28305
Pacasmayo,-7.4003,-79.5700,26125
San Vicente de Canete,-13.0833,-76.4000,25829
Otuzco,-7.9025,-78.5657,25134
Santo Tomas,-14.4500,-72.0820,25087
Caras,-9.0483,-77.8108,23841
Nazca,-14.8289,-74.9436,22859
Camana,-16.6233,-72.7092,20956
Juli,-16.2125,-69.4603,21462
Ayaviri,-14.8818,-70.5901,19310
Contamana,-7.3333,-75.0167,18921
Requena,-5.0569,-73.8515,18000
Jauja,-11.7750,-75.5000,16424
Zarumilla,-3.5014,-80.2722,16971
San Pedro de Lloc,-7.4267,-79.5038,16198
Puerto Pimentel,-6.8382,-79.9359,15552
Huarmey,-10.0686,-78.1603,16172
Ilave,-16.0866,-69.6354,16033
Puquio,-14.6939,-74.1241,15870
Junin,-11.1500,-75.9833,15320
San Ramon,-11.1296,-75.3400,14708
Lamas,-6.4167,-76.5333,13693
Motupe,-6.1508,-79.7208,13681
Cajabamba,-7.6237,-78.0460,13486
Chilca,-12.5196,-76.7400,12884
Oxapampa,-10.5775,-75.4017,12826
Santiago,-14.1896,-75.7400,10449
Salaverry,-8.2200,-78.9900,10066
Satipo,-11.2522,-74.6386,10052
Yungay,-9.1389,-77.7444,8000
Coracora,-15.0170,-73.7804,7420
Desaguadero,-16.5684,-69.0421,5329
Caballococha,-3.9058,-70.5164,3195
Urubamba,-13.3042,-72.1167,2700
Nauta,-4.5083,-73.5833,2500
Olmos,-5.9796,-79.7500,9800
Putina,-15.4700,-69.4300,8118
Tournavista,-8.9322,-74.7052,511
Gueppi,-0.1166,-75.2300,10
Rocafuerte,-0.9329,-75.4000,40
Andoas,-2.9021,-76.4025,10
Puca Urco,-2.3328,-71.9167,10
Soldado Bartra,-2.5161,-75.7666,10
