City,Latitude,Longitude,Population
Manila,14.5958,120.9772,23088000
Quezon City,14.6333,121.0333,2936116
Davao,7.0667,125.6000,1632991
Caloocan City,14.6500,120.9667,1583978
Cebu City,10.3000,123.9000,922611
Zamboanga City,6.9167,122.0833,861799
Taguig City,14.5167,121.0500,804915
Pasig City,14.5750,121.0833,755300
Antipolo,14.5842,121.1763,776386
City of Paranaque,14.4667,121.0167,665822
Cagayan de Oro,8.4833,124.6500,675950
Dasmarinas,14.3294,120.9367,659019
Valenzuela,14.7000,120.9833,620422
Bacoor,14.4624,120.9645,600609
Las Pinas City,14.4500,120.9833,588894
General Santos,6.1167,125.1667,594446
Makati City,14.5500,121.0333,582602
San Jose del Monte,14.8139,121.0453,574089
Bacolod,10.6765,122.9509,561875
Muntinlupa City,14.3833,121.0500,504509
Marikina City,14.6500,121.1000,450741
City of Calamba,14.2167,121.1667,454486
Iloilo,10.7167,122.5667,447992
Pasay City,14.5500,121.0000,416522
Mandaluyong City,14.5833,121.0333,386276
Angeles City,15.1472,120.5847,411634
Lapu-Lapu City,10.3150,123.9761,408112
Imus,14.4297,120.9367,403785
Malabon,14.6625,120.9567,365525
Mandaue City,10.3333,123.9333,362654
Santa Rosa,14.3167,121.1167,353767
San Pedro,14.3583,121.0583,325809
Baguio City,16.4152,120.5956,345366
Tarlac City,15.4802,120.5979,342493
Iligan,8.2333,124.2500,342618
Binan,14.3333,121.0833,333028
Butuan,8.9534,125.5288,337063
Lipa City,13.9411,121.1622,332386
Batangas,13.7500,121.0500,329874
General Trias,14.3833,120.8833,314303
Cabuyao,14.2750,121.1250,308745
San Fernando,15.0333,120.6833,306659
Cabanatuan City,15.4833,120.9667,302231
Cadiz,10.9587,123.3086,283157
Cotabato,7.2167,124.2500,299438
Navotas,14.6667,120.9417,249463
Lucena,13.9333,121.6167,266248
San Pablo,14.0667,121.3167,266068
Tagum,7.4478,125.8078,259444
Malolos,14.8433,120.8114,252074
Puerto Princesa,9.7500,118.7500,255116
Mabalacat,15.2167,120.5833,250799
Tacloban,11.2444,125.0039,242089
Olongapo,14.8333,120.2833,233040
Talisay,10.2500,123.8333,227645
Meycauayan,14.7333,120.9500,209083
Ormoc,11.0167,124.6167,215031
Marawi City,8.0000,124.3000,201785
Pagadian,7.8333,123.4333,199060
Naga City,13.6167,123.1667,196003
Legazpi City,13.1333,123.7333,196639
Valencia,7.9000,125.0833,192993
San Carlos City,15.9281,120.3489,188571
Panabo,7.3000,125.6833,184599
Calbayog City,12.0667,124.6000,183851
Kabankalan,9.9833,122.8167,181977
Santo Tomas,14.0833,121.1833,179844
Dagupan City,16.0333,120.3333,171271
Koronadal,6.5000,124.8500,174942
Tanauan,14.0833,121.1500,173366
Malaybalay,8.1575,125.1278,174625
Bago,10.5388,122.8384,170981
Toledo,10.3833,123.6500,170335
Digos,6.7500,125.3500,169393
Roxas City,11.5833,122.7500,167003
Sorsogon,12.9667,124.0000,168110
Trece Martires City,14.2833,120.8667,155713
Surigao,9.7833,125.4833,154137
Tuguegarao,17.6167,121.7167,153502
Sagay,10.9000,123.4167,146264
San Juan,14.6000,121.0333,122180
Ilagan,17.1333,121.8833,145568
Ozamiz City,8.1500,123.8500,141828
Mati,6.9500,126.2333,141141
Kidapawan,7.0083,125.0894,140195
San Jose,15.7833,121.0000,139738
Danao,10.5333,123.9333,136471
Santiago,16.6833,121.5500,134830
Dumaguete City,9.3103,123.3081,131377
Tabaco,13.3500,123.7333,133868
Calapan,13.3667,121.2000,133893
Urdaneta,15.9761,120.5711,132940
San Carlos,10.4929,123.4095,132536
Dipolog,8.5667,123.3333,130759
Calabayan,16.7667,121.7833,129523
Silay,10.8000,122.9667,126930
Gingoog,8.8167,125.1000,124648
San Fernando,16.6167,120.3167,121812
Carcar,10.1167,123.6333,119664
Bayawan,9.3667,122.8000,117900
Naga,10.2167,123.7500,115750
City of Isabela,6.7000,121.9667,112788
Iriga City,13.4167,123.4167,111757
Cavite City,14.4833,120.9000,102806
Laoag,18.2000,120.6000,111125
Ligao,13.2167,123.5167,111399
Gapan,15.3075,120.9453,110303
Tabuk,17.4500,121.4583,110642
Baybay,10.6833,124.8000,109432
Tagbilaran City,9.6500,123.8500,105051
Himamaylan,10.1000,122.8667,106880
Samal,7.0500,125.7333,104123
Catbalogan,11.7833,124.8833,103879
Bayugan,8.7143,125.7481,103202
Talisay,10.7333,122.9667,102214
Balanga,14.6833,120.5333,96061
Masbate,12.3667,123.6167,95389
Maasin,10.1333,124.8500,85560
Cabadbaran,9.1228,125.5346,73639
Oroquieta,8.4833,123.8000,70757
Borongan,11.6000,125.4333,69297
Tandag,9.0667,126.1833,56364
Vigan,17.5747,120.3869,53879
Palayan City,15.5333,121.0833,41041
Magugpo Poblacion,7.3821,125.8017,6726
Catarman,12.4989,124.6377,
La Trinidad,16.4556,120.5903,
Kalibo,11.7086,122.3648,
San Jose,10.7450,121.9415,
Daet,14.1122,122.9553,
Virac,13.5848,124.2374,
Bayombong,16.4812,121.1497,
Jolo,6.0522,121.0022,
Bongao,5.0292,119.7731,
Isulan,6.6294,124.6051,
Boac,13.4463,121.8400,
Tubod,8.0555,123.7904,
Mamburao,13.2233,120.5960,
Nabunturan,7.6029,125.9629,
Malita,6.4150,125.6117,
Bangued,17.5982,120.6155,
Mambajao,9.2504,124.7156,
Naval,11.5612,124.3952,
Iba,15.3276,119.9780,
Lingayen,16.0218,120.2319,
Romblon,12.5751,122.2708,
Alabel,6.1018,125.2905,
Baler,15.7589,121.5607,
Siquijor,9.2142,123.5150,
Lagawe,16.8000,121.1192,
Ipil,7.7844,122.5861,
Basco,20.4486,121.9702,
Shariff Aguak,6.8647,124.4417,
Cabarroguis,16.5111,121.5212,
Jordan,10.6584,122.5963,
Bontoc,17.0899,120.9780,
Kabugao,18.0231,121.1840,
Prosperidad,8.5800,125.8964,
Santa Cruz,14.1167,121.2833,
Koronadal,6.2541,124.9922,
San Jose,10.1800,125.5683,
Tabuk,17.4084,121.2785,
Pili,13.7177,123.7448,
Tayabas,14.0167,121.5833,99779
Tacurong,6.6833,124.6667,98316
Guihulngan,10.1167,123.2667,95969
Bislig,8.1833,126.3500,94535
Escalante,10.8333,123.5000,94070
Alaminos,16.1553,119.9808,89708
Victorias,10.9000,123.0833,87933
Dapitan,8.6549,123.4243,82418
Science City of Munoz,15.7167,120.9000,81483
Passi,11.1000,122.6333,80544
Tanjay,9.5167,123.1583,80532
Bogo,11.0167,124.0000,78120
Bais,9.5907,123.1213,76291
Lamitan,6.6500,122.1333,74782
Tagaytay,14.1000,120.9333,71181
Sipalay,9.7500,122.4000,70070
La Carlota,10.4167,122.9167,64469
Tangub,8.0667,123.7500,63011
Candon,17.2000,120.4500,60623
Batac,18.0554,120.5649,55201
Canlaon,10.3833,123.2000,54509
El Salvador,8.5667,124.5167,50204
