City,Latitude,Longitude,Population
Warsaw,52.2167,21.0333,1790658
Krakow,50.0614,19.9372,766739
Lodz,51.7769,19.4547,690422
Wroclaw,51.1077,17.0353,638586
Poznan,52.4000,16.9167,538633
Gdansk,54.3667,18.6333,464254
Szczecin,53.4247,14.5553,403833
Bydgoszcz,53.1167,18.0000,358614
Lublin,51.2333,22.5667,339850
Bialystok,53.1167,23.1667,297288
Katowice,50.2500,19.0000,276499
Gdynia,54.5189,18.5319,247672
Czestochowa,50.8000,19.1167,228179
Radom,51.4036,21.1567,219703
Torun,53.0167,18.6167,202521
Sosnowiec,50.3000,19.1667,199974
Kielce,50.8725,20.6319,191605
Rzeszow,50.0500,22.0000,182548
Gliwice,50.2976,18.6766,179806
Zabrze,50.3000,18.7833,174349
Olsztyn,53.7800,20.4942,173599
Bielsko-Biala,49.8225,19.0444,172781
Bytom,50.3470,18.9230,171515
Rybnik,50.0833,18.5000,141000
Ruda Slaska,50.2628,18.8536,139412
Zielona Gora,51.9397,15.5050,139330
Tychy,50.1667,19.0000,129322
Opole,50.6722,17.9253,127792
Gorzow Wielkopolski,52.7333,15.2500,124295
Dabrowa Gornicza,50.3239,19.1947,122712
Elblag,54.1667,19.4000,122568
Plock,52.5500,19.7000,120000
Walbrzych,50.7667,16.2833,116069
Chorzow,50.3000,18.9500,111536
Tarnow,50.0125,20.9883,110956
Wloclawek,52.6500,19.0500,110802
Koszalin,54.1903,16.1817,108576
Kalisz,51.7570,18.0830,103738
Legnica,51.2101,16.1619,101133
Inowroclaw,52.7958,18.2611,76086
Pruszkow,52.1667,20.8000,61237
Elk,53.8167,22.3500,60621
Swidnica,50.8438,16.4886,57761
Swidnik,51.2333,22.7000,42797
Malbork,54.0285,19.0444,38895
Sopot,54.4419,18.5478,37457
Brzeg,50.8667,17.4833,36541
Czeladz,50.3333,19.0833,34402
Ketrzyn,54.0833,21.3833,27827
Piastow,52.1833,20.8500,23332
Koscian,52.0833,16.6500,24086
Szczytno,53.5628,20.9853,23500
Chojnow,51.2667,15.9333,13904
Grudziadz,53.4925,18.7761,95964
Jaworzno,50.2000,19.2750,94305
Jelenia Gora,50.9000,15.7333,84306
Siedlce,52.1833,22.2833,76585
Myslowice,50.2333,19.1333,75183
Piotrkow Trybunalski,51.4000,19.6833,74905
Ostrowiec Swietokrzyski,50.9333,21.4000,72001
Gniezno,52.5333,17.6000,70083
Suwalki,54.0833,22.9333,69626
Przemysl,49.7850,22.7673,67847
Pabianice,51.6642,19.3500,64988
Chelm,51.1333,23.4833,63734
Lomza,53.1833,22.0833,62700
Mielec,50.2833,21.4333,60628
Tarnowskie Gory,50.4500,18.8667,60879
Belchatow,51.3667,19.3667,59025
Biala Podlaska,52.0333,23.1167,57498
Ostroleka,53.0833,21.5667,52900
Pulawy,51.4166,21.9694,49839
Starogard Gdanski,53.9667,18.5333,48690
Rumia,54.5667,18.4000,47148
Kolobrzeg,54.1667,15.5667,46716
Tarnobrzeg,50.5833,21.6833,47816
Skierniewice,51.9528,20.1417,47837
Kutno,52.2333,19.3667,47557
Nysa,50.4738,17.3344,46841
Ciechanow,52.8817,20.6106,46112
Otwock,52.1167,21.2667,42765
Sieradz,51.6000,18.7500,42120
Mikolow,50.1710,18.9041,42053
Kwidzyn,53.7358,18.9308,40008
Swinoujscie,53.9167,14.2500,41479
Nowa Sol,51.8000,15.7167,39721
Boleslawiec,51.2667,15.5667,39412
Oswiecim,50.0333,19.2333,39057
Chrzanow,50.1333,19.4000,38989
Jaroslaw,50.0162,22.6778,38796
Zary,51.6333,15.1333,37502
Lebork,54.5500,17.7500,35374
Cieszyn,49.7500,18.6333,34513
Nowy Targ,49.4833,20.0333,33545
Police,53.5500,14.5708,33152
Zgorzelec,51.1528,15.0000,31359
Lukow,51.9167,22.3833,30381
Bochnia,49.9833,20.4333,30075
Bielawa,50.6908,16.6230,30207
Mlawa,53.1167,20.3667,29836
Krotoszyn,51.6970,17.4357,29379
Lubon,52.3333,16.8833,27000
Gorlice,49.6556,21.1604,27597
Bilgoraj,50.5500,22.7333,27290
Klodzko,50.4378,16.6528,27193
Zakopane,49.2994,19.9519,27490
Bielsk Podlaski,52.7667,23.2000,26493
Grodzisk Mazowiecki,52.1039,20.6337,26881
Walcz,53.2667,16.4667,26354
Brzozow,49.6953,22.0194,26615
Kluczbork,50.9833,18.2167,26164
Swiecie,53.4167,18.4333,26026
Wagrowiec,52.8000,17.2000,24529
Bialogard,54.0070,15.9875,24570
