City,Latitude,Longitude,Population
Lisbon,38.7452,-9.1604,506654
Vila Nova de Gaia,41.1333,-8.6167,302295
Porto,41.1495,-8.6108,237591
Amadora,38.7500,-9.2333,175136
Braga,41.5333,-8.4167,181494
Matosinhos,41.2077,-8.6674,175478
Almada,38.6803,-9.1583,174030
Oeiras,38.6970,-9.3017,172120
Gondomar,41.1500,-8.5333,168027
Guimaraes,41.4450,-8.2908,158124
Odivelas,38.8000,-9.1833,144549
Coimbra,40.2111,-8.4291,143396
Vila Franca de Xira,38.9500,-8.9833,136886
Maia,41.2333,-8.6167,135306
Leiria,39.7431,-8.8069,126897
Setubal,38.5243,-8.8926,121185
Funchal,32.6500,-16.9167,111892
Viseu,40.6667,-7.9167,99274
Queluz,38.7566,-9.2545,78273
Viana do Castelo,41.7000,-8.8333,88725
Barreiro,38.6609,-9.0733,78764
Aveiro,40.6389,-8.6553,78450
Ponta Delgada,37.7400,-25.6700,68809
Faro,37.0167,-7.9333,64560
Santarem,39.2369,-8.6850,62200
Evora,38.5667,-7.9000,55620
Castelo Branco,39.8230,-7.4931,56109
Rio Tinto,41.1833,-8.5667,50713
Vila Real,41.3002,-7.7398,51850
Ermezinde,41.2133,-8.5472,38798
Cacem,38.7704,-9.3081,21289
Guarda,40.5364,-7.2683,42541
Agualva,38.7700,-9.2988,35824
Massama,38.7568,-9.2748,28112
Beja,38.0333,-7.8833,35854
Braganca,41.8000,-6.7500,35341
Estoril,38.7057,-9.3977,26399
Portalegre,39.3167,-7.4167,24930
Falagueira,38.7590,-9.2199,14530
Sao Joao da Madeira,40.9000,-8.5000,21713
Sacavem,38.7944,-9.1053,18469
Valadares,41.0997,-8.6403,10678
Valongo,41.1833,-8.5000,93858
Paredes,41.2000,-8.3333,86854
Vila do Conde,41.3500,-8.7500,79533
Torres Vedras,39.0833,-9.2667,79465
Mafra,38.9333,-9.3333,76685
Penafiel,41.2000,-8.2833,72265
Loule,37.1440,-8.0235,70622
Moita,38.6500,-8.9833,66029
Povoa de Varzim,41.3916,-8.7571,63408
Palmela,38.5667,-8.9000,62831
Figueira da Foz,40.1508,-8.8618,62125
Felgueiras,41.3667,-8.1833,58065
Pacos de Ferreira,41.2833,-8.3833,56340
Amarante,41.2667,-8.0833,56264
Portimao,37.1333,-8.5333,55614
