City,Latitude,Longitude,Population
San Juan,18.4037,-66.0636,331165
Bayamon,18.3793,-66.1635,165383
Carolina,18.4054,-65.9792,140072
Ponce,18.0120,-66.6198,116796
Caguas,18.2319,-66.0388,74980
Guaynabo,18.3839,-66.1134,69697
Trujillo Alto,18.3601,-66.0103,44689
Levittown,18.4454,-66.1759,25225
Guayama,17.9744,-66.1104,22063
Yauco,18.0344,-66.8615,16802
Candelaria,18.4043,-66.2175,15846
Cayey,18.1150,-66.1630,14610
Rio Grande,18.3789,-65.8388,12973
Manati,18.4283,-66.4823,12899
Coamo,18.0765,-66.3638,11148
Pajaros,18.3609,-66.2184,9554
Sabana Grande,18.0821,-66.9673,9357
Aibonito,18.1398,-66.2659,8352
Juncos,18.2264,-65.9163,7970
Luquillo,18.3735,-65.7218,7841
Sabana Seca,18.4273,-66.1809,7731
San Lorenzo,18.1894,-65.9674,7629
Gurabo,18.2529,-65.9786,7515
San Isidro,18.3919,-65.8853,6915
Puerto Real,18.0762,-67.1861,6892
Yabucoa,18.0469,-65.8792,6829
Las Piedras,18.1784,-65.8708,6402
Santa Isabel,17.9687,-66.4049,6196
Arroyo,17.9706,-66.0609,6134
Anasco,18.2860,-67.1411,5526
Campanilla,18.4229,-66.2382,5304
Penuelas,18.0595,-66.7206,5253
Naguabo,18.2116,-65.7370,5220
Mayaguez,18.2003,-67.1397,62579
Arecibo,18.4491,-66.7387,40108
Fajardo,18.3330,-65.6592,25229
Catano,18.4415,-66.1388,24888
Vega Baja,18.4410,-66.3993,22815
Humacao,18.1519,-65.8204,18487
Dorado,18.4657,-66.2724,12330
Aguadilla,18.4382,-67.1536,11170
San German,18.0827,-67.0460,11117
Hormigueros,18.1437,-67.1200,11009
Isabela,18.4991,-67.0220,10708
Vega Alta,18.4152,-66.3211,9394
Corozal,18.3411,-66.3124,8871
Cabo Rojo,18.0867,-67.1482,8862
San Sebastian,18.3356,-66.9949,8490
San Antonio,18.4468,-66.3002,8144
Canovanas,18.3782,-65.9056,7351
Utuado,18.2697,-66.7049,7160
Juana Diaz,18.0532,-66.5047,7095
Guanica,17.9698,-66.9309,6781
Cidra,18.1775,-66.1582,5620
Ceiba,18.2650,-65.6488,5613
Coco,18.0010,-66.2603,5328
