City,Latitude,Longitude,Population
Brazzaville,-4.2667,15.2833,1827000
Pointe-Noire,-4.7889,11.8653,829134
Dolisie,-4.1961,12.6731,103894
Owando,-0.4833,15.9000,34070
Ouesso,1.6167,16.0500,28320
Sibiti,-3.6833,13.3500,22811
Madingou,-4.1536,13.5500,22760
Impfondo,1.6333,18.0667,20859
Kinkala,-4.3500,14.7600,13882
Djambala,-2.5500,14.7500,9651
Ewo,-0.8667,14.8167,9062
Loango,-4.6519,11.8125,
Kayes,-4.1806,13.2889,62521
Mossendjo,-2.9458,12.7147,30936
Gamboma,-1.8795,15.8500,20877
Boloso,2.0337,15.2167,12244
Makoua,-0.0047,15.6228,11355
Sembe,1.6404,14.5800,9679
