City,Latitude,Longitude,Population
Bucharest,44.4000,26.0833,1883425
Cluj-Napoca,46.7800,23.5594,324576
Timisoara,45.7597,21.2300,319279
Iasi,47.1622,27.5889,290422
Brasov,45.6500,25.6000,290743
Constanta,44.1733,28.6383,283872
Craiova,44.3333,23.8167,269506
Galati,45.4233,28.0425,249432
Ploiesti,44.9386,26.0225,209945
Oradea,47.0722,21.9211,196367
Braila,45.2692,27.9575,180302
Arad,46.1667,21.3167,159074
Pitesti,44.8667,24.8833,155383
Sibiu,45.8000,24.1500,147245
Bacau,46.5833,26.9167,144307
Targu-Mures,46.5497,24.5597,134290
Baia Mare,47.6597,23.5819,123738
Buzau,45.1517,26.8167,115494
Botosani,47.7486,26.6694,106847
Satu Mare,47.7900,22.8900,102411
Ramnicu Valcea,45.1047,24.3756,98776
Drobeta-Turnu Severin,44.6361,22.6556,92617
Suceava,47.6514,26.2556,92121
Piatra Neamt,46.9275,26.3708,85055
Resita,45.2970,21.8865,83324
Targu Jiu,45.0342,23.2747,82504
Targoviste,44.9244,25.4572,79610
Focsani,45.6997,27.1797,79315
Bistrita,47.1333,24.4833,75076
Tulcea,45.1900,28.8000,73707
Slatina,44.4297,24.3642,70293
Calarasi,44.2000,27.3333,65181
Alba Iulia,46.0764,23.5728,63536
Giurgiu,43.9000,25.9667,61353
Zalau,47.1911,23.0572,56202
Sfantu-Gheorghe,45.8636,25.7875,56006
Vaslui,46.6383,27.7292,55407
Slobozia,44.5639,27.3661,45891
Alexandria,43.9686,25.3333,45434
Miercurea-Ciuc,46.3594,25.8039,38966
Hunedoara,45.7500,22.9000,
Deva,45.8719,22.9117,61123
Voluntari,44.4925,26.1914,42944
Sighetu Marmatiei,47.9309,23.8947,37640
Navodari,44.3208,28.6125,32981
Mioveni,44.9553,24.9356,31998
Borsa,47.6553,24.6631,27611
Oltenita,44.0864,26.6364,24822
Pantelimon,44.4528,26.2036,25596
Turnu Magurele,43.7517,24.8708,24772
Zarnesti,45.5725,25.3431,23476
Petrila,45.4511,23.3981,22692
Buftea,44.5700,25.9500,22178
Popesti-Leordeni,44.3800,26.1700,21895
Cugir,45.8436,23.3636,21376
Carei,47.6900,22.4700,21112
Comanesti,46.4132,26.4362,19568
Targu Neamt,47.2025,26.3586,18695
Bals,44.3542,24.0986,18164
Baicoi,45.0453,25.8658,17981
Salonta,46.8000,21.6500,17735
Calafat,43.9858,22.9575,17336
Filiasi,44.5539,23.5290,16900
Cernavoda,44.3381,28.0336,17022
Corabia,43.7736,24.5033,16441
Breaza,45.1872,25.6622,15928
Bragadiru,44.3694,25.9753,15329
Bocsa,45.3747,21.7106,15842
Baia-Sprie,47.6608,23.6886,15476
Ludus,46.4778,24.0961,15328
Chitila,44.5172,25.9753,14184
Rasnov,45.5931,25.4603,15022
Viseu de Sus,47.7111,24.4264,15037
Mizil,45.0000,26.4406,14312
Buhusi,46.7150,26.7042,14562
Stefanesti,44.8717,24.9527,14541
Simleu Silvaniei,47.2300,22.8000,14436
Pucioasa,45.0742,25.4342,14254
Cisnadie,45.7128,24.1508,14282
Otopeni,44.5500,26.0700,13861
Zimnicea,43.6539,25.3650,14058
Ovidiu,44.2700,28.5600,13847
Gaesti,44.7208,25.3147,13317
Gura Humorului,47.5542,25.8875,13667
Jimbolia,45.7917,20.7222,13597
Vicovu de Sus,47.9258,25.6800,13308
Tandarei,44.6403,27.6586,13219
Ocna Mures,46.3900,23.8600,13036
Bolintin Vale,44.4472,25.7572,12929
Avrig,45.7081,24.4000,12815
Pecica,46.1700,21.0700,12762
Simeria,45.8500,23.0100,12556
Moldova Noua,44.7347,21.6664,12350
Sannicolau Mare,46.0722,20.6294,12312
Darmanesti,46.3700,26.4797,12247
Rovinari,44.9125,23.1622,11816
Valenii de Munte,45.1856,26.0397,11707
Dabuleni,43.8011,24.0919,12175
Comarnic,45.2511,25.6353,11970
Negresti-Oas,47.8694,23.4242,11867
Scornicesti,44.5700,24.5500,11766
Targu Lapus,47.4525,23.8631,11744
Videle,44.2833,25.5333,11508
Sacueni,47.3525,22.0914,11526
Santana,46.3500,21.5000,11428
Targu Ocna,46.2803,26.6094,11300
Boldesti-Scaeni,45.0300,26.0300,11137
Oravita,45.0333,21.6833,11382
Calan,45.7361,23.0086,11279
Magurele,44.3461,25.9999,11041
Harlau,47.4278,26.9114,10905
Draganesti-Olt,44.1697,24.5300,10894
Cristuru Secuiesc,46.2917,25.0353,10796
Beclean,47.1797,24.1797,10628
Vladimirescu,46.1674,21.4616,10710
Marasesti,45.8800,27.2300,10671
Urlati,44.9911,26.2306,10541
Jibou,47.2583,23.2583,10407
Otelu Rosu,45.5333,22.3667,10510
Orsova,44.7253,22.3961,10441
Strehaia,44.6222,23.1972,10506
Sinaia,45.3500,25.5514,10410
Topoloveni,44.8069,25.0839,10219
Targu Frumos,47.2097,27.0131,10475
Costesti,44.6697,24.8800,10375
Sovata,46.5961,25.0744,10385
Ianca,45.1350,27.4747,10343
Dolhasca,47.4303,26.6094,10298
Lipova,46.0894,21.6914,10313
Murfatlar,44.1736,28.4083,10216
Nehoiu,45.4153,26.3082,10211
Flamanzi,47.5644,26.8728,10136
Alesd,47.0572,22.3969,10066
Covasna,45.8492,26.1853,10114
Valea lui Mihai,47.5200,22.1300,9902
Darabani,48.1864,26.5892,9893
Titu,44.6622,25.5736,9658
Hateg,45.6075,22.9500,9685
Nasaud,47.2833,24.4067,9587
Podu Iloaiei,47.2167,27.2667,9573
Sangeorz-Bai,47.3700,24.6800,9679
Liteni,47.5200,26.5319,9596
Harsova,44.6833,27.9519,9642
Odobesti,45.7497,27.1155,9364
Huedin,46.8738,23.0041,9346
Ineu,46.4258,21.8369,9260
Salcea,47.6500,26.3700,9015
Seini,47.7478,23.2853,8987
Babadag,44.8933,28.7119,8940
Busteni,45.4153,25.5375,8894
Uricani,45.3364,23.1525,8972
Bumbesti-Jiu,45.1786,23.3814,8932
Agnita,45.9733,24.6172,8732
Roznov,46.8356,26.5117,8593
Iernut,46.4533,24.2333,8705
Baraolt,46.0750,25.6000,8672
Tasnad,47.4772,22.5833,8631
Babeni,44.9750,24.2311,8451
Bicaz,46.9108,26.0911,8626
Negresti,46.8403,27.4417,8380
Macin,45.2456,28.1231,8245
Ictar Budinti,45.8014,21.5133,8336
Siret,47.9500,26.0600,7976
Targu Carbunesti,44.9583,23.5064,8034
Chisineu Cris,46.5225,21.5158,7987
Mihailesti,44.3239,25.9069,7923
Fieni,45.1222,25.4183,7587
Plopeni,45.0458,25.9536,7718
Budesti,44.2300,26.4500,7725
Panciu,45.9100,27.0900,7664
Vlahita,46.3500,25.5300,7649
Campeni,46.3625,23.0456,7629
Calimanesti,45.2392,24.3433,7622
Intorsura Buzaului,45.6728,26.0342,7528
Somcuta Mare,47.5167,23.4667,7565
Curtici,46.3419,21.3061,7453
Anina,45.0917,21.8533,7485
Dumbraveni,46.2275,24.5758,7388
Zlatna,46.1589,23.2211,7490
Nadlac,46.1667,20.7500,7398
Techirghiol,44.0575,28.5958,7292
Amara,44.6200,27.3200,7345
Victoria,45.6466,24.7059,7386
Patarlagele,45.3189,26.3597,7304
Ulmeni,47.4656,23.3003,7270
Turceni,44.6794,23.3731,7269
Pogoanele,44.9167,27.0000,7275
Cehu Silvaniei,47.4120,23.1800,7214
Tautii Magherus,47.6678,23.4722,7136
Cajvana,47.7044,25.9694,6901
Murgeni,46.2000,28.0167,7119
Fundulea,44.4528,26.5153,6851
Saveni,47.9533,26.8589,6999
Buzias,45.6500,21.6000,7023
Segarcea,44.0919,23.7334,7019
Tismana,45.0506,22.9489,7035
Ungheni,46.4858,24.4608,6945
Pancota,46.3225,21.6869,6946
Sarmasu,46.7536,24.1667,6942
Racari,44.6333,25.7333,6930
Talmaciu,45.6667,24.2611,6905
Teius,46.2000,23.6800,6695
Balan,46.6497,25.8100,6115
Livada,47.8667,23.1333,6773
Faget,45.8500,22.1800,6761
Lehliu-Gara,44.4386,26.8533,6502
Doctor Petru Groza,46.5400,22.4700,6529
Insuratei,44.9167,27.6000,6528
Deta,45.4000,21.2200,6260
Piatra Olt,44.3603,24.2942,6299
Bujor,45.8667,27.9000,6299
Horezu,45.1433,23.9917,6263
Ardud,47.6333,22.8833,6231
Slanic,45.2333,25.9392,6034
Sebis,46.3728,22.1294,5979
Brezoi,45.3442,24.2394,6022
Frasin,47.5183,25.7819,5876
Gataia,45.4333,21.4333,5861
Potcoava,44.4910,24.6083,5743
Miercurea Nirajului,46.5300,24.8000,5554
Copsa Mica,46.1125,24.2306,5404
Brosteni,47.2442,25.6981,5506
Novaci-Straini,45.1800,23.6700,5431
Saliste,45.7942,23.8864,5421
Baia de Arama,45.0000,22.8114,5349
Ciacova,45.5000,21.1333,5348
Stefanesti,47.7922,27.2011,5314
Vanju-Mare,44.4319,22.8769,5311
Rupea,46.0389,25.2225,5269
Geoagiu,45.9200,23.2000,5294
Abrud,46.2739,23.0500,5072
Sangeorgiu de Padure,46.4303,24.8417,5166
Milisauti,47.7864,26.0044,5005
Falciu,46.3095,28.0849,5103
Negru Voda,43.8181,28.2125,5088
Ostrov,44.1020,27.4017,5069
Isaccea,45.2697,28.4597,5026
Baile Herculane,44.8772,22.4175,5008
