City,Latitude,Longitude,Population
Moscow,55.7558,37.6178,17125000
Saint Petersburg,59.9500,30.3167,5351935
Novosibirsk,55.0333,82.9167,1602915
Yekaterinburg,56.8356,60.6128,1468833
Nizhniy Novgorod,56.3269,44.0075,1264075
Kazan,55.7908,49.1144,1243500
Chelyabinsk,55.1500,61.4000,1202371
Omsk,54.9667,73.3833,1178391
Samara,53.1833,50.1167,1169719
Rostov,47.2333,39.7167,1125299
Ufa,54.7333,55.9667,1115560
Krasnoyarsk,56.0167,92.8667,1083865
Voronezh,51.6717,39.2106,1047549
Perm,58.0139,56.2489,1048005
Volgograd,48.7000,44.4833,1015586
Krasnodar,45.0333,38.9833,881476
Saratov,51.5333,46.0000,845300
Tyumen,57.1500,65.5333,744554
Tolyatti,53.5167,49.4167,707408
Izhevsk,56.8500,53.2167,646277
Barnaul,53.3567,83.7872,633301
Ulyanovsk,54.3167,48.3667,624518
Irkutsk,52.2833,104.3000,623736
Khabarovsk,48.4833,135.0667,616242
Yaroslavl,57.6167,39.8500,608079
Vladivostok,43.1167,131.9000,606589
Makhachkala,42.9833,47.4833,592976
Tomsk,56.4886,84.9522,572740
Orenburg,51.7667,55.1000,564443
Kemerovo,55.3333,86.0667,556920
Novokuznetsk,53.7500,87.1167,552105
Ryazan,54.6167,39.7167,537622
Astrakhan,46.3333,48.0167,532504
Naberezhnyye Chelny,55.7000,52.3333,529797
Penza,53.2000,45.0000,523726
Lipetsk,52.6167,39.6000,510439
Kirov,58.6000,49.6500,501468
Cheboksary,56.1333,47.2500,489498
Tula,54.2000,37.6167,485221
Kaliningrad,54.7167,20.5000,475056
Balashikha,55.8000,37.9500,450771
Kursk,51.7372,36.1872,449063
Stavropol,45.0500,41.9833,433577
Ulan-Ude,51.8272,107.6064,431922
Tver,56.8578,35.9219,419363
Magnitogorsk,53.3833,59.0333,418241
Sochi,43.5853,39.7203,411524
Ivanovo,57.0000,41.0000,406933
Bryansk,53.2500,34.3667,406553
Belgorod,50.6000,36.6000,391135
Surgut,61.2500,73.4333,360590
Vladimir,56.1333,40.4167,356168
Nizhniy Tagil,57.9167,59.9667,355693
Arkhangelsk,64.5500,40.5333,351488
Chita,52.0333,113.5000,347088
Kaluga,54.5333,36.2667,341892
Smolensk,54.7828,32.0453,329853
Volzhskiy,48.7833,44.7667,326055
Kurgan,55.4408,65.3411,322042
Cherepovets,59.1333,37.9167,318856
Vologda,59.2167,39.9000,313012
Saransk,54.1833,45.1833,314789
Orel,52.9686,36.0694,311625
Vladikavkaz,43.0167,44.6500,306978
Yakutsk,62.0272,129.7319,307911
Podolsk,55.4297,37.5444,299660
Murmansk,68.9667,33.0833,298096
Tambov,52.7167,41.4333,290365
Groznyy,43.3125,45.6986,291687
Sterlitamak,53.6333,55.9500,280233
Petrozavodsk,61.7833,34.3500,278551
Kostroma,57.7667,40.9333,277648
Nizhnevartovsk,60.9389,76.5950,274575
Novorossiysk,44.7167,37.7667,270774
Yoshkar-Ola,56.6328,47.8958,266675
Nalchik,43.4833,43.6167,265162
Taganrog,47.2333,38.9000,250287
Komsomol'sk-na-Amure,50.5500,137.0000,249810
Syktyvkar,61.6667,50.8167,245313
Khimki,55.8892,37.4450,244668
Nizhnekamsk,55.6333,51.8167,237250
Shakhty,47.7000,40.2333,235492
Dzerzhinsk,56.2333,43.4500,231797
Bratsk,56.1667,101.6167,231602
Orsk,51.2145,58.5441,230414
Noginsk,64.4833,91.2333,229731
Kolpino,59.7300,30.6500,225801
Angarsk,52.5667,103.9167,226374
Engels,51.4667,46.1167,225752
Korolev,55.9167,37.8167,221797
Blagoveshchensk,50.2578,127.5364,224419
Velikiy Novgorod,58.5210,31.2758,222594
Staryy Oskol,51.2981,37.8350,223360
Pskov,57.8167,28.3333,209840
Mytishchi,55.9167,37.7333,205397
Biysk,52.5167,85.1667,203108
Lyubertsy,55.6814,37.8939,197705
Prokopyevsk,53.8833,86.7167,196406
Yuzhno-Sakhalinsk,46.9500,142.7333,194882
Armavir,45.0000,41.1167,190709
Balakovo,52.0390,47.7839,191260
Rybinsk,58.0500,38.8333,190429
Severodvinsk,64.5667,39.8500,183996
Abakan,53.7167,91.4167,181709
Petropavlovsk-Kamchatskiy,53.0167,158.6500,181216
Norilsk,69.3333,88.2167,177428
Syzran,53.1667,48.4667,173260
Krasnogorsk,55.8167,37.3333,171793
Volgodonsk,47.5167,42.1500,171471
Kamensk-Ural'skiy,56.4000,61.9333,169929
Ussuriysk,43.8000,131.9500,170660
Novocherkassk,47.4222,40.0939,168766
Zlatoust,55.1667,59.6667,167978
Elektrostal,55.8000,38.4500,158508
Nakhodka,67.7504,77.5200,159551
Salavat,53.3667,55.9333,153181
Almetyevsk,54.9000,52.3000,154262
Miass,55.0500,60.1000,151856
Nakhodka,42.8167,132.8833,151420
Kopeysk,55.1000,61.6167,147573
Pyatigorsk,44.0333,43.0500,145836
Rubtsovsk,51.5167,81.2000,145333
Kolomna,55.0833,38.7833,144125
Berezniki,59.4167,56.7833,145115
Khasavyurt,43.2500,46.5833,141259
Maykop,44.6000,40.0833,141970
Kovrov,56.3606,41.3197,138552
Odintsovo,55.6733,37.2733,140537
Kislovodsk,43.9100,42.7200,129593
Serpukhov,54.9167,37.4000,125817
Novocheboksarsk,56.1167,47.5000,126626
Bataysk,47.1333,39.7500,126769
Domodedovo,55.4333,37.7500,127850
Neftekamsk,56.0833,54.2500,126805
Nefteyugansk,61.1000,72.6000,126157
Shchelkovo,55.9167,38.0000,125634
Novomoskovsk,54.0333,38.2667,125647
Pervouralsk,56.9167,59.9500,124447
Cherkessk,44.2222,42.0575,122395
Derbent,42.0692,48.2958,123720
Orekhovo-Zuyevo,55.8000,38.9667,118822
Kaspiysk,42.8833,47.6333,116340
Nazran,43.2167,44.7667,117936
Nevinnomyssk,44.6333,41.9333,117446
Reutov,55.7667,37.8667,106990
Obninsk,55.1000,36.6167,115029
Kyzyl,51.7167,94.4500,116015
Dimitrovgrad,54.2333,49.5833,116055
Ramenskoye,55.5669,38.2303,116077
Oktyabr'skiy,54.4833,53.4833,113929
Novyy Urengoy,66.0847,76.6789,113254
Kamyshin,50.0833,45.4000,111100
Dolgoprudnyy,55.9333,37.5000,108861
Zhukovskiy,55.6011,38.1161,107994
Murom,55.5725,42.0514,109072
Yessentuki,44.0431,42.8644,108679
Novoshakhtinsk,47.7667,39.9167,108345
Seversk,56.6000,84.8500,107922
Arzamas,55.3833,43.8000,104547
Artem,43.3500,132.1833,106692
Noyabrsk,63.2017,75.4517,106879
Achinsk,56.2817,90.5039,105264
Yelets,52.6167,38.4667,104349
Pushkino,56.0167,37.8500,105479
Berdsk,54.7500,83.1000,103578
Sergiyev Posad,56.3000,38.1333,104579
Elista,46.3167,44.2667,103132
Novokuybyshevsk,53.1000,49.9167,102075
Noginsk,55.8500,38.4333,102592
Zheleznogorsk,52.3333,35.3667,100740
Khanty-Mansiysk,61.0000,69.0000,98692
Magadan,59.5667,150.8000,92782
Lobnya,56.0167,37.4833,88220
Kuznetsk,53.1167,46.6000,82276
Ivanteyevka,55.9700,37.9200,79346
Birobidzhan,48.7833,132.9333,73623
Georgiyevsk,44.1500,43.4667,67054
Buynaksk,42.8167,47.1167,65080
Fryazino,55.9500,38.0500,60437
Gorno-Altaysk,51.9600,85.9600,63214
Lytkarino,55.5833,37.8833,58606
Klimovsk,55.3667,37.5333,56239
Dzerzhinskiy,55.6333,37.8500,55669
Moskovskiy,55.5991,37.3550,50167
Kotelniki,55.6500,37.8667,46763
Krasnoznamensk,55.6000,37.0333,41769
Salekhard,66.5333,66.6333,48507
Kanash,55.5167,47.5000,45482
Morshansk,53.4500,41.8000,39362
Kokhma,56.9333,41.0833,30500
Dagestanskiye Ogni,42.1167,48.2000,29401
Shumerlya,55.5000,46.4167,29553
Udomlya,57.8833,35.0167,28119
Desnogorsk,54.1531,33.2903,27771
Losino-Petrovskiy,55.8667,38.2000,25424
Nar'yan-Mar,67.6378,53.0067,24775
Anadyr,64.7333,177.5167,15604
Magas,43.1667,44.8167,10333
Zelenodol'sk,55.8500,48.5167,99491
Tobolsk,58.1953,68.2581,98886
Sarapul,56.4667,53.8000,97910
Votkinsk,57.0500,54.0000,97550
Serov,59.6000,60.5667,97762
Ukhta,63.5667,53.7000,97087
Mezhdurechensk,53.6833,88.0500,97060
Leninsk-Kuznetskiy,54.6500,86.1667,96139
Sarov,54.9333,43.3167,95388
Solikamsk,59.6333,56.7667,94628
Gatchina,59.5667,30.1333,94447
Michurinsk,52.8922,40.4928,93330
Glazov,58.1333,52.6500,93056
Voskresensk,55.3167,38.6833,93565
Mikhaylovsk,45.1283,42.0256,93658
Velikiye Luki,56.3500,30.5167,91435
Kansk,56.2000,95.7000,89508
Kiselevsk,53.9833,86.7000,89867
Kamensk-Shakhtinskiy,48.3167,40.2667,88997
Buzuluk,52.7667,52.2667,86316
Gubkin,51.2833,37.5500,86780
Novotroitsk,51.2067,58.3281,86474
Bugulma,54.5333,52.7833,86085
Shchekino,54.0143,37.5143,86088
Yeysk,46.7106,38.2778,85760
Kineshma,57.4500,42.1500,83871
Zheleznogorsk,56.2500,93.5333,83857
Yurga,55.7333,84.9000,81759
Chaykovskiy,56.7667,54.1167,83077
Ust'-Ilimsk,58.0000,102.6667,81976
Azov,47.1000,39.4167,80721
Anapa,44.8944,37.3167,81447
Novouralsk,57.2500,60.0833,81202
Klin,56.3339,36.7125,79387
Ozersk,55.7556,60.7028,79265
Vyborg,60.7092,28.7442,78457
Usol'ye-Sibirskoye,52.7500,103.6500,77407
Kropotkin,45.4333,40.5667,78149
Bor,56.3603,44.0592,78063
Gelendzhik,44.5608,38.0767,77212
