City,Latitude,Longitude,Population
Kigali,-1.9536,30.0606,745261
Nyanza,-2.3496,29.7400,225209
Gisenyi,-1.6928,29.2500,136830
Ruhengeri,-1.4944,29.6417,59333
Byumba,-1.5794,30.0694,34544
Rwamagana,-1.9525,30.4378,18009
Kibuye,-2.0594,29.3481,12325
Gitarama,-2.0696,29.7600,87613
Butare,-2.6000,29.7500,50220
Muhanga,-2.0783,29.7581,49038
Kabuga,-1.9765,30.2247,40202
Cyangugu,-2.4833,28.8967,27416
Gikongoro,-2.4697,29.5814,16695
Ruhango,-2.2325,29.7803,17051
Nyagatare,-1.2947,30.3272,14320
Kibungo,-2.1608,30.5442,11537
