City,Latitude,Longitude,Population
Riyadh,24.6500,46.7100,6881000
Jeddah,21.5428,39.1728,3976000
Mecca,21.4225,39.8261,1700000
Medina,24.4667,39.6000,1180770
Ad Dammam,26.4333,50.1000,903312
Al Hufuf,25.3608,49.5997,637389
Buraydah,26.3333,43.9667,614093
Al Hillah,23.4895,46.7564,594605
At Ta'if,21.2667,40.4167,579970
Tabuk,28.3972,36.5789,512629
Khamis Mushayt,18.3000,42.7333,430828
Ha'il,27.5236,41.7001,385257
Al Qatif,26.5196,50.0115,368892
Al Mubarraz,25.4416,49.6642,298562
Al Kharj,24.1556,47.3120,298428
Najran,17.4917,44.1322,298288
Yanbu`,24.0943,38.0493,267590
Hafr al Batin,28.4337,45.9601,249194
Al Jubayl,27.0046,49.6460,237274
Abha,18.2167,42.5000,236157
Al Khubar,26.3000,50.2167,219679
`Ar`ar,30.9833,41.0167,167057
`Unayzah,26.0840,43.9940,163729
Al Hawiyah,21.4411,40.4975,148151
Dhahran,26.2667,50.1500,138135
Sakaka,30.0000,40.1333,128332
Jazan,16.8892,42.5611,127743
Al Bahah,20.0129,41.4677,95089
Qal`at Bishah,20.0087,42.5987,88291
Rafha,29.6202,43.4948,64755
Tubarjal,30.5000,38.2167,48525
Al Majma`ah,25.9039,45.3456,47743
Ad Dir`iyah,24.7333,46.5756,43269
Al Wajh,26.2324,36.4636,43237
Ad Dilam,23.9934,47.1643,40114
Layla,22.2833,46.7333,30906
As Sulayyil,20.4623,45.5722,24097
Dawmat al Jandal,29.8153,39.8664,22583
Duruma,24.6000,46.1333,11461
Al Qurayyat,31.3333,37.3333,10000
Al Quway`iyah,24.0737,45.2806,8712
Na`jan,24.0731,47.1700,5125
Al Qunfudhah,19.1264,41.0789,157
