City,Latitude,Longitude,Population
Dakar,14.7319,-17.4572,1146053
Thies,14.7833,-16.9167,293001
Rufisque,14.7167,-17.2667,221066
Ziguinchor,12.5833,-16.2667,205294
Saint-Louis,16.0333,-16.5000,176000
Kaolack,14.1520,-16.0726,172305
Diourbel,14.6550,-16.2314,100445
Louga,15.6167,-16.2167,85075
Tambacounda,13.7689,-13.6672,78800
Kolda,12.8958,-14.9408,62258
Fatick,14.3167,-16.4167,24243
Kedougou,12.5556,-12.1807,18226
Kaffrine,14.1016,-15.5467,
Sedhiou,12.7081,-15.5569,
Matam,15.6167,-13.3333,
Kobilo,16.1500,-13.5000,21656
Linguere,15.3833,-15.2167,15482
Kanel,15.4833,-13.1667,12975
