City,Latitude,Longitude,Population
Belgrade,44.8167,20.4667,1378682
Novi Sad,45.2644,19.8317,380000
Nis,43.3192,21.8961,183164
Zemun,44.8500,20.4000,161596
Kragujevac,44.0142,20.9394,150623
Subotica,46.0983,19.6700,105681
Valjevo,44.2667,19.8833,90312
Loznica,44.5333,19.2258,86413
Zrenjanin,45.3778,20.3861,76511
Pancevo,44.8739,20.6519,76203
Cacak,43.8914,20.3497,71883
Kraljevo,43.7234,20.6870,66688
Novi Pazar,43.1500,20.5167,66527
Leskovac,42.9981,21.9461,60288
Uzice,43.8500,19.8500,59747
Krusevac,43.5833,21.3267,58745
Vranje,42.5542,21.8972,55138
Sombor,45.7800,19.1200,51471
Kikinda,45.8244,20.4592,38065
Prijepolje,43.5439,19.6514,37059
Vrsac,45.1206,21.2986,35701
Bor,44.1303,22.1036,34159
Backa Palanka,45.2506,19.3886,29449
Priboj,43.5816,19.5273,27133
Bajina Basta,43.9731,19.5597,26022
Vrbas,45.5697,19.6378,24112
Senta,45.9231,20.0731,20302
Trstenik,43.6186,20.9972,17180
Backa Topola,45.8089,19.6350,16171
Sjenica,43.2667,20.0000,14060
Bela Crkva,44.8975,21.4172,10675
Ada,45.8014,20.1222,10547
Kanjiza,46.0667,20.0500,10200
Vrnjacka Banja,43.6167,20.9000,10065
Zabalj,45.3667,20.0667,9161
Odzaci,45.5167,19.2667,9021
Sremski Karlovci,45.2000,19.9333,8750
Beocin,45.1922,19.7203,8058
Sokobanja,43.6394,21.8694,7982
Lapovo,44.1842,21.0973,7143
Backi Petrovac,45.3564,19.5883,6727
Bac,45.3886,19.2353,6087
Irig,45.1011,19.8583,4848
Coka,45.9389,20.1394,4707
Alibunar,45.0808,20.9658,3431
Jagodina,43.9750,21.2564,
Sabac,44.7558,19.6939,
Gornji Milanovac,44.0212,20.4560,
Pozega,43.8500,20.0500,
Krupanj,44.3656,19.3619,
Lebane,42.9167,21.7333,
Vladicin Han,42.7000,22.0667,
Knjazevac,43.5000,22.4333,
Ljubovija,44.1896,19.3785,
Smederevska Palanka,44.3655,20.9587,
Mali Zvornik,44.3992,19.1214,
Surdulica,42.6950,22.1672,
Pozarevac,44.6200,21.1897,
Zajecar,43.9042,22.2847,
Paracin,43.8667,21.4167,
Lucani,43.8667,20.1333,
Smederevo,44.6633,20.9289,
Aleksinac,43.5383,21.7047,
Despotovac,44.0833,21.4333,
Kladovo,44.6039,22.6072,
Pirot,43.1519,22.5850,
Vlasotince,42.9667,22.1333,
Prokuplje,43.2339,21.5861,
Batocina,44.1500,21.0833,
Dimitrovgrad,43.0167,22.7833,
Doljevac,43.1968,21.8334,
Velika Plana,44.3333,21.0833,
Svilajnac,44.2167,21.2000,
Svrljig,43.4167,22.1167,
Sid,45.1283,19.2264,
Negotin,44.2167,22.5167,
Bojnik,43.0142,21.7180,
Topola,44.2525,20.6761,
Blace,43.2906,21.2847,
Apatin,45.6667,18.9833,
Cuprija,43.9231,21.3686,
Arilje,43.7519,20.0906,
Kovin,44.7475,20.9761,
Boljevac,43.8247,21.9519,
Kosjeric,44.0000,19.9167,
Cicevac,43.7167,21.4500,
Plandiste,45.2292,21.1238,
Bogatic,44.8376,19.4807,
Varvarin,43.7167,21.3667,
Razanj,43.6744,21.5492,
Mionica,44.2500,20.0833,
Arandelovac,44.3042,20.5561,
Kula,45.6109,19.5274,
Novi Becej,45.6000,20.1167,
Becej,45.6167,20.0333,
Zitorada,43.1833,21.7167,
Titel,45.2000,20.3000,
Merosina,43.2813,21.7218,
Stara Pazova,44.9833,20.1667,
Bosilegrad,42.5005,22.4728,
Knic,43.9167,20.7167,
Secanj,45.3667,20.7725,
Kovacica,45.1117,20.6214,
Medveda,42.8333,21.5833,
Zitiste,45.4850,20.5497,
Cajetina,43.7500,19.7167,
Sremska Mitrovica,44.9833,19.6167,
Ivanjica,43.5811,20.2297,
Indija,45.0492,20.0792,
Zabari,44.3562,21.2143,
Petrovac na Mlavi,44.3783,21.4194,
Mali Idos,45.7092,19.6663,
Ub,44.4500,20.0667,
Raca,44.2333,20.9833,
Srbobran,45.5522,19.8017,
Ljig,44.2266,20.2394,
Rekovac,43.8667,21.1333,
Novi Knezevac,46.0500,20.1000,
Lajkovac,44.3667,20.1667,
Aleksandrovac,43.4553,21.0514,
Malo Crnice,44.5603,21.2906,
Kursumlija,43.1408,21.2678,
Raska,43.2856,20.6092,
Golubac,44.6529,21.6308,
Pecinci,44.9089,19.9664,
Nova Crnja,45.6685,20.6042,
Majdanpek,44.4167,21.9333,
Ruma,45.0031,19.8289,
Vladimirci,44.6158,19.7843,
Tutin,42.9875,20.3256,
Babusnica,43.0680,22.4115,
Brus,43.3836,21.0336,
Osecina,44.3667,19.6000,
Veliko Gradiste,44.7500,21.5167,
Kucevo,44.4833,21.6667,
Koceljeva,44.4687,19.8214,
Temerin,45.4053,19.8869,
Gadzin Han,43.2223,22.0333,
Opovo,45.0522,20.4303,
Zagubica,44.1979,21.7902,
Trgoviste,42.3514,22.0921,
Nova Varos,43.4667,19.8203,
Bela Palanka,43.2178,22.3067,
Crna Trava,42.8071,22.3247,
Presevo,42.3067,21.6500,
Bujanovac,42.4667,21.7667,
Horgos,46.1556,19.9725,6325
Banatski Karlovac,45.0472,21.0161,5820
