City,Latitude,Longitude,Population
Bratislava,48.1447,17.1128,429564
Kosice,48.7167,21.2500,238593
Petrzalka,48.1333,17.1167,103190
Presov,49.0000,21.2333,88680
Zilina,49.2167,18.7333,82704
Banska Bystrica,48.7353,19.1453,78327
Nitra,48.3147,18.0875,77374
Trnava,48.3777,17.5862,65382
Trencin,48.8942,18.0406,55593
Martin,49.0636,18.9214,54978
Poprad,49.0500,20.3000,52037
Prievidza,48.7714,18.6242,48134
Zvolen,48.5831,19.1331,42476
Povazska Bystrica,49.1167,18.4500,39837
Michalovce,48.7575,21.9183,39151
Nove Zamky,47.9831,18.1728,38172
Spisska Nova Ves,48.9500,20.5667,37326
Komarno,47.7633,18.1283,36596
Levice,48.2136,18.6069,32735
Liptovsky Mikulas,49.0811,19.6181,32593
Bardejov,49.2950,21.2758,32587
Piest'any,48.5833,17.8333,29957
Lucenec,48.3314,19.6708,27991
Ruzomberok,49.0786,19.3083,26854
Topol'cany,48.5500,18.1833,25492
Trebisov,48.6333,21.7167,24587
Cadca,49.4386,18.7883,24315
Dubnica nad Vahom,48.9575,18.1658,24068
Rimavska Sobota,48.3814,20.0200,24010
Partizanske,48.6333,18.3667,22653
Dunajska Streda,47.9961,17.6147,22643
Vranov nad Topl'ou,48.8806,21.6731,22589
Pezinok,48.2667,17.2667,22861
Sal'a,48.1500,17.8833,22219
Hlohovec,48.4311,17.8031,21715
Brezno,48.8036,19.6381,21082
Senica,48.6806,17.3667,20342
Nove Mesto nad Vahom,48.7833,17.8333,20066
Snina,48.9881,22.1567,19855
Senec,48.2189,17.3997,19410
Ziar nad Hronom,48.5919,18.8533,19188
Roznava,48.6586,20.5314,19190
Dolny Kubin,49.2117,19.2992,18905
Banovce nad Bebravou,48.7186,18.2581,18350
Puchov,49.1200,18.3306,17810
Malacky,48.4381,17.0236,17430
Handlova,48.7272,18.7619,17119
Kezmarok,49.1383,20.4292,16481
Stara L'ubovna,49.3167,20.6833,16348
Sered',48.2833,17.7333,15726
Kysucke Nove Mesto,49.3000,18.7833,15132
Galanta,48.1914,17.7308,15029
Skalica,48.8500,17.2333,14967
Detva,48.5572,19.4208,14751
Levoca,49.0228,20.5906,14803
Samorin,48.0267,17.3117,13324
Sabinov,49.1000,21.1000,12700
Vel'ky Krtis,48.2150,19.3381,12115
Revuca,48.6833,20.1167,12249
Nova Dubnica,48.9333,18.1500,11134
Zlate Moravce,48.3781,18.3964,11583
Myjava,48.7578,17.5686,11708
Moldava nad Bodvou,48.6156,20.9992,11260
Svidnik,49.3056,21.5678,11096
Stupava,48.2833,17.0333,11471
Bytca,49.2228,18.5581,11362
Holic,48.8119,17.1628,11171
Fil'akovo,48.2719,19.8286,10654
Sturovo,47.7992,18.7181,10524
Stropkov,49.2050,21.6514,10654
Kolarovo,47.9153,17.9972,10546
Banska Stiavnica,48.4586,18.8931,10097
Surany,48.0833,18.1833,9878
Tvrdosin,49.3369,19.5503,9195
Svit,49.0583,20.2025,7624
Vel'ke Kapusany,48.5500,22.0833,9004
Krompachy,48.9167,20.8744,8828
Modra,48.3331,17.3069,8976
Stara Tura,48.7772,17.6956,8932
Vel'ky Meder,47.8500,17.7667,8828
Vrable,48.2500,18.3167,8656
Secovce,48.7000,21.6500,8441
Vrutky,49.1117,18.9236,7760
Hurbanovo,47.8761,18.1972,8041
Namestovo,49.4100,19.4800,7876
Krupina,48.3500,19.0669,7890
Liptovsky Hradok,49.0394,19.7244,7528
Kral'ovsky Chlmec,48.4233,21.9797,7505
Turzovka,49.4050,18.6253,7559
Hnust'a,48.5736,19.9531,7490
Hrinova,48.5667,19.5167,7535
Sahy,48.0667,18.9667,7321
Nova Bana,48.4267,18.6394,7364
Trstena,49.3667,19.6167,7368
Tornal'a,48.4167,20.3333,7252
Krasno nad Kysucou,49.3978,18.8364,6783
Lipany,49.1528,20.9619,6484
Zeliezovce,48.0486,18.6603,6859
Spisska Bela,49.1858,20.4567,6657
Medzilaborce,49.2717,21.9042,6612
Sobrance,48.7460,22.1790,6170
Turcianske Teplice,48.8589,18.8636,6390
Nemsova,48.9669,18.1169,6368
Zarnovica,48.4833,18.7167,6284
Vrbove,48.6208,17.7225,5969
Gelnica,48.8550,20.9397,6099
Rajec,49.0833,18.6333,5816
Poltar,48.4306,19.7975,5693
Svaty Jur,48.2519,17.2156,5655
Dobsina,48.8206,20.3675,5696
Ilava,48.9994,18.2361,5485
Vel'ky Saris,49.0383,21.1917,5404
Gabcikovo,47.8921,17.5788,5391
Kremnica,48.7044,18.9183,5358
Sladkovicovo,48.2000,17.6500,5281
Gbely,48.7175,17.1150,5155
