City,Latitude,Longitude,Population
Ljubljana,46.0500,14.5167,284355
Maribor,46.5500,15.6333,112325
Kranj,46.2389,14.3556,56081
Celje,46.2291,15.2641,37875
Koper,45.5475,13.7307,25611
Velenje,46.3667,15.1167,25333
Ptuj,46.4186,15.8714,23957
Novo Mesto,45.7981,15.1628,23341
Piran,45.5271,13.5685,17491
Nova Gorica,45.9667,13.6500,13852
Ormoz,46.4071,16.1505,12798
Murska Sobota,46.6586,16.1619,11679
Sezana,45.7000,13.8500,11842
Izola,45.5395,13.6604,10381
Ruse,46.5383,15.5153,7351
Ajdovscina,45.8884,13.9052,6596
Idrija,46.0025,14.0275,5843
Hrastnik,46.1461,15.0814,4995
Bled,46.3667,14.1167,4929
Dravograd,46.5900,15.0180,3163
Gornja Radgona,46.6810,15.9883,3052
Ankaran,45.5793,13.7379,3209
Lendava,46.5662,16.4499,2919
Skofja Loka,46.1655,14.3064,
Domzale,46.1333,14.6000,
Ravne na Koroskem,46.5437,14.9642,
Naklo,46.2749,14.3176,1776
Slovenske Konjice,46.3362,15.4210,
Mezica,46.5206,14.8536,
Kamnik,46.2250,14.6097,
Radlje ob Dravi,46.6149,15.2226,
Grosuplje,45.9551,14.6562,
Zagorje,46.1342,14.9942,
Slovenj Gradec,46.5093,15.0790,
Zalec,46.2516,15.1674,
Litija,46.0565,14.8303,
Krsko,45.9590,15.4922,
Jesenice,46.4366,14.0602,
Radovljica,46.3444,14.1744,
Prevalje,46.5467,14.9800,
Trbovlje,46.1550,15.0533,
Ivancna Gorica,45.9383,14.8044,
Rogaska Slatina,46.2375,15.6397,
Lasko,46.1563,15.2386,
Zirovnica,46.4047,14.1400,
Store,46.2208,15.3139,
Cerklje na Gorenjskem,46.2542,14.4886,
Sostanj,46.3800,15.0486,
Slovenska Bistrica,46.3941,15.5707,
Sentjur,46.2225,15.3973,
Prebold,46.2369,15.0925,
Miklavz na Dravskem Polju,46.5058,15.6972,
Sempeter pri Gorici,45.9283,13.6378,
Mozirje,46.3394,14.9633,
Trebnje,45.9104,15.0086,
Polzela,46.2833,15.0667,
Brezice,45.9044,15.5925,
Kocevje,45.6430,14.8594,
Spodnje Hoce,46.5000,15.6500,
Selnica ob Dravi,46.5500,15.4950,
Smartno,46.0444,14.8442,
Medvode,46.1333,14.4333,
Lenart v Slovenskih Goricah,46.5755,15.8306,
Moravce,46.1369,14.7450,
Kanal,46.0886,13.6397,
Nazarje,46.3176,14.9467,
Menges,46.1669,14.5750,
Zrece,46.3833,15.3667,
Preddvor,46.3025,14.4231,
Vuzenica,46.5992,15.1669,
Vrhnika,45.9622,14.2936,
Sevnica,46.0092,15.3039,
Poljcane,46.3119,15.5792,
Ziri,46.0460,14.1083,
Smarje,46.2272,15.5192,
Komenda,46.2038,14.5407,
Metlika,45.6472,15.3142,
Vojnik,46.2931,15.3028,
Skofljica,45.9833,14.5767,
Brezovica,46.0333,14.4000,
Muta,46.6114,15.1661,
Radenci,46.6472,16.0442,
Log,46.0167,14.3667,
Spodnji Duplek,46.5031,15.7453,
Borovnica,45.9180,14.3642,
Ljutomer,46.5208,16.1975,
Oplotnica,46.3878,15.4467,
Lukovica,46.1667,14.7000,
Smartno,46.3333,15.0333,
Sencur,46.2456,14.4197,
Mirna,45.9553,15.0619,
Race,46.4519,15.6814,
Crnomelj,45.5711,15.1889,
Vitanje,46.3817,15.2958,
Sentjernej,45.8400,15.3361,
Majsperk,46.3517,15.7336,
Horjul,46.0236,14.2992,
Postojna,45.7743,14.2153,
Luce,46.3561,14.7467,
Spodnja Hajdina,46.4089,15.8469,
Vodice,46.2000,14.5000,
Pivka,45.6794,14.1967,
Braslovce,46.2897,15.0389,
