City,Latitude,Longitude,Population
Mogadishu,2.0408,45.3425,2120000
Jamaame,0.0722,42.7506,185270
Baidoa,3.1167,43.6500,129839
Jawhar,2.7670,45.5166,111308
Kismaayo,-0.3603,42.5489,73300
Beledweyne,4.7360,45.2040,62945
Gaalkacyo,6.7697,47.4308,61200
Boosaaso,11.2800,49.1800,46969
Garbahaarrey,3.3500,42.2667,43000
Garoowe,8.4000,48.4833,2568
Marka,1.7156,44.7703,1958
Xuddur,4.1200,43.8878,1639
Bu'aale,1.0833,42.5833,1490
Dhuusamarreeb,5.5375,46.3875,447
Boorama,9.9361,43.1828,
Hargeysa,9.5600,44.0650,
Burco,9.5221,45.5336,
Laascaanood,8.4774,47.3597,
Ceerigaabo,10.6162,47.3679,
Luuq,3.8005,42.5500,33820
Baraawe,1.1133,44.0303,32800
Buurhakaba,2.7837,44.0833,31267
Eyl,7.9667,49.8500,18904
Bandarbeyla,9.4833,50.8167,13753
Buur Gaabo,-1.2009,41.8520,3096
Qardho,9.5004,49.1660,1341
Mereeg,3.7666,47.3000,548
Caluula,11.9670,50.7500,513
Hurdiyo,10.5667,51.1333,176
