City,Latitude,Longitude,Population
Johannesburg,-26.2044,28.0416,4434827
Vereeniging,-26.6736,27.9319,1074000
Pretoria,-25.7464,28.1881,741651
Cape Town,-33.9250,18.4250,433688
Bloemfontein,-29.1000,26.2167,256185
Pietermaritzburg,-29.5833,30.4167,750845
Durban,-29.8583,31.0250,595061
Welkom,-27.9831,26.7208,431944
East London,-33.0153,27.9116,338627
Randburg,-26.0936,28.0064,337053
Roodepoort,-26.1625,27.8725,326416
Port Elizabeth,-33.9581,25.6000,312392
Springs,-26.2547,28.4428,236083
Centurion,-25.8603,28.1894,236580
Sandton,-26.1070,28.0517,222415
Polokwane,-23.9000,29.4500,220045
Klerksdorp,-26.8667,26.6667,178921
Rustenburg,-25.6500,27.2400,165976
Kimberley,-28.7386,24.7586,165264
Bhisho,-32.8494,27.4381,160997
Benoni,-26.1883,28.3206,158777
George,-33.9667,22.4500,157394
Middelburg,-25.7684,29.4783,154706
Vryheid,-27.7694,30.7914,150012
Potchefstroom,-26.7150,27.1033,148804
Umtata,-31.5800,28.7900,137772
Brits,-25.6167,27.7667,122497
Alberton,-26.2672,28.1219,121536
Upington,-28.4572,21.2425,121189
Paarl,-33.7242,18.9558,112045
Uitenhage,-33.7500,25.4000,103639
Queenstown,-31.9000,26.8833,105309
Mmabatho,-25.8500,25.6333,104428
Kroonstad,-27.6456,27.2317,103992
Bethal,-26.4500,29.4500,101919
Thohoyandou,-22.9500,30.4833,69453
Vryburg,-26.9500,24.7333,49588
Vredenburg,-32.9000,17.9833,38382
Cradock,-32.1833,25.6167,32898
Ulundi,-28.3350,31.4161,29132
Mahikeng,-25.8653,25.6442,15117
Saron,-33.1810,19.0100,7843
Nelspruit,-25.4745,30.9703,
Worcester,-33.6450,19.4436,97098
Vanderbijlpark,-26.6992,27.8356,95840
Grahamstown,-33.2996,26.5200,91548
Standerton,-26.9500,29.2500,74021
Brakpan,-26.2353,28.3700,73080
Saldanha,-32.9978,17.9456,68284
Tzaneen,-23.8333,30.1667,67245
Graaff-Reinet,-32.2522,24.5406,62896
Oudtshoorn,-33.5833,22.2000,61507
Mossel Bay,-34.1833,22.1333,59031
Port Shepstone,-30.7411,30.4547,52793
Knysna,-34.0356,23.0489,51078
Ladysmith,-28.5539,29.7825,47375
Beaufort West,-32.3500,22.5833,44737
Aliwal North,-30.7000,26.7000,44436
Volksrust,-27.3667,29.8833,43378
Musina,-22.3381,30.0417,42678
Malmesbury,-33.4500,18.7333,35897
Lebowakgomo,-24.3050,29.5650,33308
De Aar,-30.6500,24.0167,32318
Jeffrey's Bay,-34.0333,24.9167,27107
Lichtenburg,-26.1500,26.1667,26338
Hermanus,-34.4167,19.3000,25153
Carletonville,-26.3581,27.3981,23000
Komatipoort,-25.4333,31.9500,20508
Port Alfred,-33.6000,26.8833,17959
Middelburg,-31.4939,25.0172,18164
Swellendam,-34.0231,20.4400,17537
Bloemhof,-27.6500,25.5900,17122
Bethlehem,-28.2333,28.3000,16236
Montagu,-33.7833,20.1167,15176
Bredasdorp,-34.5333,20.0417,14936
Phalaborwa,-23.9333,31.1167,13108
Caledon,-34.2300,19.4283,13020
Moorreesburg,-33.1500,18.6667,12877
Colesberg,-30.7167,25.1000,12423
Piketberg,-32.9000,18.7667,12075
Brandfort,-28.7000,26.4667,12091
Prieska,-29.6683,22.7439,11236
Velddrif,-32.7667,18.1667,11017
Saint Helena Bay,-32.7583,18.0278,11529
Kuruman,-27.4597,23.4125,10006
Springbok,-29.6667,17.8833,10438
Villiersdorp,-33.9833,19.2833,10004
Darling,-33.3833,18.3833,10420
Tulbagh,-33.2850,19.1378,8969
Citrusdal,-32.5894,19.0147,7177
Clanwilliam,-32.1786,18.8911,7674
Porterville,-33.0000,18.9833,7057
Kleinmond,-34.3500,19.0333,6634
Vanrhynsdorp,-31.6167,18.7167,6272
Klawer,-31.7833,18.6167,6234
Genadendal,-34.0333,19.5500,5663
Carnarvon,-30.9667,22.1333,5785
Hopefield,-33.0667,18.3500,6460
Port Saint John's,-31.6288,29.5369,5939
Lambert's Bay,-32.0833,18.3000,6120
Riviersonderend,-34.1500,19.9000,5245
Onrus,-34.4122,19.1700,5151
Pofadder,-29.1286,19.3947,4220
Alexander Bay,-28.6083,16.5033,1500
Ubombo,-27.5667,32.0833,564
