City,Latitude,Longitude,Population
Seoul,37.5833,127.0000,21794000
Busan,35.1000,129.0403,3440484
Incheon,37.4639,126.6486,2913024
Daegu,35.8667,128.6000,2461002
Gwangju,35.1667,126.9167,1501557
Daejeon,36.3510,127.3850,1475221
Suwon,37.2858,127.0100,1234300
Ulsan,35.5500,129.3167,1166033
Goyang,37.6564,126.8350,1061929
Changwon,35.2281,128.6811,1046054
Tongjin,37.2361,127.2011,971327
Songnam,37.4386,127.1378,948757
Bucheon,37.4989,126.7831,867678
Cheongju,36.6372,127.4897,833276
Hwasu-dong,37.2000,126.7667,655350
Jeonju,35.8219,127.1489,653055
Ansan,37.3236,126.8219,652800
Ch'onan,36.8064,127.1522,651661
Yanggok,37.6367,127.2142,629061
Anyang,37.3925,126.9269,573296
Kimhae,35.2342,128.8811,534124
Pohang,36.0322,129.3650,520305
Pyeongtaek,36.9947,127.0889,457873
Jeju,33.5097,126.5219,435413
Masan,35.1833,128.5500,429612
Kihung,37.4167,127.1167,425184
Uijeongbu,37.7486,127.0389,421579
Kumi,36.2100,128.3544,421075
Paju,37.8328,126.8169,415345
Gimpo,37.6236,126.7142,352683
Yeosu,34.7368,127.7458,341994
Chinju,35.1928,128.0847,337230
Wonju,37.3417,127.9208,330854
Gwangmyeongni,37.4772,126.8664,318021
Asan,36.3500,126.9167,319929
Iksan,35.9439,126.9544,302310
Yangsan,35.3386,129.0386,297532
Kunp'o,37.3675,126.9469,285721
Chuncheon,37.8747,127.7342,281596
Gyeongsan,35.8167,128.7333,278500
Kunsan,35.9786,126.7114,275155
Yeosu,34.7607,127.6622,273761
Suncheon,34.9506,127.4875,265390
Kyongju,35.8500,129.2167,264091
Mokpo,34.7936,126.3886,239524
Gangneung,37.7556,128.8961,215677
Osan,37.1450,127.0694,213840
Chungju,36.9706,127.9322,211005
Ich'on,37.2792,127.4425,209003
Anseong,37.0078,127.2797,194765
Guri,37.5947,127.1428,180063
Sosan,36.7817,126.4522,169221
Tangjin,36.8944,126.6297,163762
Pocheon,37.8944,127.1992,163388
Andong,36.5656,128.7250,162180
Uiwang,37.3447,126.9683,154879
Hanam,37.5392,127.2147,154838
Seogwipo,33.2497,126.5600,153861
Gwangyang,34.9403,127.7017,151834
Ch'ungmu,34.8458,128.4236,137208
Jicheon,36.1192,128.1153,137540
Chech'on,37.1361,128.2119,136350
Hosan,36.2039,127.0847,124246
Sa-ch'on,35.2347,128.3575,113335
Jeonghae,35.5653,126.8561,110194
Yoju,37.2939,127.6383,109937
Yongju,36.8217,128.6308,109266
Miryang,35.4933,128.7489,103069
Sangju,36.4153,128.1606,102892
Boryeong,36.3333,126.6167,101852
Sejong,36.6092,127.2919,
Hongseong,36.6009,126.6650,
Muan,34.9897,126.4714,
Bakjagol,36.0430,128.0484,
Dongducheon,37.9133,127.0633,97424
Naju,35.0283,126.7175,92582
Kimje,35.8017,126.8889,84269
Sokcho,38.2083,128.5911,79846
Mun'gyong,36.5939,128.2014,71863
Samch'ok,37.4406,129.1708,69509
Gwacheon,37.4289,126.9892,64817
T'aebaek,37.1731,128.9861,46715
Ulchin,37.0020,129.4003,14426
Eumseong,36.9353,127.6897,10077
