City,Latitude,Longitude,Population
Colombo,6.9167,79.8333,752993
Sri Jayewardenepura Kotte,6.9000,79.9164,115826
Moratuwa,6.7804,79.8800,200000
Negombo,7.2111,79.8386,142136
Batticaloa,7.7170,81.7000,129222
Anuradhapura,8.3350,80.4108,118302
Kandy,7.2970,80.6385,111701
Trincomalee,8.5667,81.2333,99135
Galle,6.0395,80.2194,99478
Kilinochchi,9.4004,80.3999,103717
Jaffna,9.6647,80.0167,88138
Matara,5.9490,80.5428,68244
Ratnapura,6.6930,80.3860,47832
Puttalam,8.0330,79.8260,45661
Badulla,6.9847,81.0564,42923
Nuwara Eliya,6.9667,80.7667,27500
Kegalle,7.2531,80.3453,17962
Hambantota,6.1241,81.1185,11213
Kurunegala,7.4833,80.3667,
Mullaittivu,9.2833,80.8000,37339
