City,Latitude,Longitude,Population
Khartoum,15.6031,32.5265,7282000
Omdurman,15.6835,32.4629,2805396
Khartoum North,15.6333,32.6333,936349
Kassala,15.4500,36.4000,536009
Port Sudan,19.6158,37.2164,489275
El Obeid,13.1833,30.2167,418280
Gedaref,14.0333,35.3833,354927
Kusti,13.1700,32.6600,345068
Wad Medani,14.4000,33.5100,332714
El Fasher,13.6300,25.3500,252609
Nyala,12.0500,24.8833,227183
Shendi,16.6805,33.4200,186611
Ed Damazin,11.7704,34.3500,186051
Kadugli,11.0100,29.7000,176931
El Geneina,13.4500,22.4400,162981
Al Manaqil,14.2504,32.9800,151827
Atbara,17.7167,33.9833,139768
Sannar,13.5500,33.6000,130122
An Nuhud,12.6904,28.4200,108008
Ed Damer,17.5900,33.9600,103941
Dongola,19.1769,30.4839,26404
Rabak,13.1880,32.7437,
Singa,13.1483,33.9311,
Ed Daein,11.4672,26.1317,
Zalingei,12.9092,23.4706,
El Fula,11.7120,28.3462,
Ad Diwem,13.9904,32.3000,87068
Tokar,18.4333,37.7333,73202
Umm Ruwaba,12.9058,31.2156,55742
Berber,18.0170,33.9833,49556
Sawakin,19.1000,37.3333,43337
Haya,18.3461,36.3969,20000
Al Mijlad,11.0337,27.7333,19997
Babanusah,11.3334,27.8000,19700
Wadi Halfa',21.8000,31.3500,17121
Marawi,18.4833,31.8167,10234
Karmah an Nuzul,19.6337,30.4166,3928
