City,Latitude,Longitude,Population
Stockholm,59.3294,18.0686,972647
Gothenburg,57.6717,11.9810,600473
Malmo,55.5932,13.0214,321845
Uppsala,59.8498,17.6389,164535
Uppsala,59.8601,17.6400,133117
Vasteras,59.6173,16.5422,127799
Orebro,59.2669,15.1965,125817
Linkoping,58.4094,15.6257,114582
Helsingborg,56.0424,12.7210,112496
Jonkoping,57.7713,14.1650,89780
Umea,63.8285,20.2706,89607
Karlstad,59.3671,13.4999,74141
Gavle,60.6670,17.1666,68635
Vaxjo,56.8837,14.8167,59600
Halmstad,56.6718,12.8556,55657
Lulea,65.5838,22.1915,48749
Ostersund,63.1833,14.6500,46178
Trollhattan,58.2671,12.3000,44543
Kalmar,56.6694,16.3218,41110
Falun,60.6130,15.6470,36477
Karlskrona,56.2030,15.2960,35212
Nykoping,58.7582,17.0185,33546
Visby,57.6290,18.3071,24693
Huskvarna,57.7919,14.2756,22000
Harnosand,62.6323,17.9379,18624
Norrkoping,58.5954,16.1787,88639
Sundsvall,62.4001,17.3167,73389
Boras,57.7304,12.9200,65008
Borlange,60.4833,15.4167,39422
Molndal,57.6542,12.0139,37233
Kristianstad,56.0337,14.1333,32188
Skelleftea,64.7721,20.9500,31311
Ornskoldsvik,63.3180,18.7167,27749
Vanersborg,58.3630,12.3300,21835
Kiruna,67.8500,20.2166,18154
Hoganas,56.1960,12.5769,15795
Kinna,57.4954,12.6805,15373
Mariestad,58.7050,13.8280,14891
Mjolby,58.3321,15.1312,13914
Bollnas,61.3520,16.3666,13398
Mora,61.0096,14.5635,12858
Ulricehamn,57.7917,13.4186,11443
Tibro,58.4190,14.1580,8572
Habo,57.9066,14.0856,8455
Tidaholm,58.1794,13.9599,8233
Stromstad,58.9441,11.1864,7355
Haparanda,65.8342,24.1170,6642
Hjo,58.3044,14.2786,6351
Kungsor,59.4227,16.1059,5898
Vargarda,58.0341,12.8083,5735
Hjarup,55.6707,13.1410,5607
