City,Latitude,Longitude,Population
Bern,46.9480,7.4474,133798
Zurich,47.3786,8.5400,434008
Geneva,46.2000,6.1500,201818
Basel,47.5606,7.5906,177595
Lausanne,46.5333,6.6333,138905
Winterthur,47.4992,8.7267,109775
Lucerne,47.0523,8.3059,81691
Sankt Gallen,47.4233,9.3772,75833
Biel/Bienne,47.1372,7.2472,54456
Thun,46.7590,7.6300,43743
Bellinzona,46.1956,9.0238,43220
Fribourg,46.8000,7.1500,38365
Vernier,46.2000,6.1000,35132
Schaffhausen,47.6965,8.6339,36587
Chur,46.8521,9.5297,35038
Neuchatel,46.9903,6.9306,33475
Yverdon-les-Bains,46.7785,6.6408,30157
Zug,47.1692,8.5164,30542
Carouge,46.1817,6.1404,22336
Dubendorf,47.3981,8.6194,28002
Dietikon,47.4056,8.4039,26936
Vevey,46.4667,6.8500,19891
Renens,46.5353,6.5897,20927
Meyrin,46.2322,6.0791,24144
Onex,46.1833,6.1000,18977
Allschwil,47.5508,7.5358,21150
Opfikon,47.4331,8.5719,19864
Nyon,46.3820,6.2389,20272
Aarau,47.3923,8.0446,21268
Reinach,47.4936,7.5908,19144
Schlieren,47.3989,8.4497,18666
Pully,46.5167,6.6667,18313
Adliswil,47.3122,8.5256,18731
Thalwil,47.2953,8.5647,17784
Ostermundigen,46.9553,7.4833,17546
Morges,46.5094,6.4986,15838
Solothurn,47.2081,7.5375,16777
Binningen,47.5333,7.5667,15580
Wallisellen,47.4122,8.5922,15855
Prilly,46.5333,6.6000,12399
Thonex,46.2000,6.2167,14122
Arbon,47.5167,9.4333,14537
Schwyz,47.0205,8.6583,15181
La Tour-de-Peilz,46.4500,6.8667,11829
Liestal,47.4839,7.7350,14390
Chene-Bougeries,46.1833,6.1833,12215
Ecublens,46.5276,6.5605,12854
Le Grand-Saconnex,46.2333,6.1167,12162
Rorschach,47.4786,9.4936,9439
Birsfelden,47.5531,7.6231,10299
Villars-sur-Glane,46.7833,7.1167,12092
Delemont,47.3653,7.3472,12682
Mannedorf,47.2553,8.6917,10957
Glarus,47.0331,9.0664,12515
Sarnen,46.8969,8.2469,10368
Altdorf,46.8806,8.6394,9401
Stans,46.9594,8.3667,8393
Appenzell,47.3333,9.4167,5649
Lugano,46.0103,8.9625,63185
Koniz,46.9250,7.4153,41507
La Chaux-de-Fonds,47.0996,6.8296,38965
Sion,46.2304,7.3661,34708
Uster,47.3492,8.7192,34442
Landecy,46.1897,6.1158,31942
Emmen,47.0772,8.3000,29292
Rapperswil-Jona,47.2286,8.8317,26989
Kriens,47.0344,8.2800,26997
Montreux,46.4333,6.9167,25984
Frauenfeld,47.5558,8.8964,25442
Wetzikon,47.3208,8.7931,24452
