City,Latitude,Longitude,Population
Aleppo,36.2000,37.1500,1834093
Damascus,33.5131,36.2919,1754000
Homs,34.7333,36.7167,900492
Latakia,35.5236,35.7917,700000
Hamah,35.1333,36.7500,312994
Dayr az Zawr,35.3333,40.1500,211857
Ar Raqqah,35.9500,39.0167,196529
Al Hasakah,36.5117,40.7422,188160
Al Qamishli,37.0500,41.2167,184231
Idlib,35.9333,36.6333,165000
Dar`a,32.6250,36.1050,146481
Jaramana,33.4833,36.3500,114363
Duma,33.5722,36.4019,123494
Al Hajar al Aswad,33.4581,36.3053,101827
As Salamiyah,35.0111,37.0531,110683
Tartus,34.8833,35.8833,89457
Darayya,33.4589,36.2372,84044
Ath Thawrah,35.8344,38.5464,84000
As Suwayda',32.7000,36.5667,64730
Harasta,33.5586,36.3650,45974
Al Qunaytirah,33.1256,35.8239,37022
Ma`arrat an Nu`man,35.6433,36.6683,90000
Albu Kamal,34.4504,40.9186,80808
Manbij,36.5333,37.9500,78255
Jablah,35.3597,35.9214,75505
Nawa,32.8833,36.0500,63676
At Tall,33.6103,36.3106,63554
Ar Rastan,34.9167,36.7333,61176
Khan Shaykhun,35.4419,36.6508,55843
An Nabk,34.0250,36.7344,52502
Tadmur,34.5600,38.2672,51323
Al Mayadin,35.0208,40.4533,48922
`Amuda,37.1042,40.9300,47580
Yabrud,33.9672,36.6572,47136
Al Qusayr,34.5089,36.5797,46772
Jisr ash Shughur,35.8000,36.3167,44322
Baniyas,35.1822,35.9403,43151
Jayrud,33.8072,36.7403,39903
Al Malikiyah,37.1781,42.1403,39000
Al Qaryatayn,34.2294,37.2406,37820
Ma`arratmisrin,36.0114,36.6717,37490
Masyaf,35.0653,36.3421,37109
`Afrin,36.5119,36.8694,36562
Tallkalakh,34.6683,36.2597,35445
Dayr Hafir,36.1592,37.7040,35409
Qadsayya,33.5333,36.2167,33571
Safita,34.8208,36.1173,32213
I`zaz,36.5888,37.0441,31534
Ra's al `Ayn,36.8503,40.0706,29347
Az Zabadani,33.7247,36.1003,26285
As Sanamayn,33.0711,36.1842,26268
Harim,36.2076,36.5192,21934
Izra`,32.8567,36.2469,19158
As Suqaylibiyah,35.3697,36.3800,17313
Tall Abyad,36.6975,38.9567,14825
Jindayris,36.3947,36.6889,13661
Ad Duraykish,34.8969,36.1346,13244
Jarabulus,36.8175,38.0111,11570
Al Atarib,36.1389,36.8300,10657
Taftanaz,35.9981,36.7847,8540
`Ayn `Isa,36.3858,38.8472,6730
