City,Latitude,Longitude,Population
Taichung,24.1500,120.6667,2803894
Kaohsiung,22.6167,120.3000,2773533
Taipei,25.0478,121.5319,2684567
Tainan,22.9833,120.1833,1883831
Zhongli,24.9650,121.2168,1632616
Changhua,24.0667,120.5333,750000
Pingtung,22.6761,120.4942,503530
Taoyuan District,24.9889,121.3111,443273
Hsinchu,24.8047,120.9714,445635
Keelung,25.1283,121.7419,370155
Chiayi,23.4800,120.4497,268622
Pingzhen,24.9439,121.2161,201632
Zhubei,24.8333,121.0119,200000
Bade,24.9575,121.2989,172065
Yangmei,24.9167,121.1500,175000
Nantou,23.9167,120.6833,165000
Yilan,24.7500,121.7500,150000
Hualien,23.9769,121.6044,109251
Taitung,22.7583,121.1444,108905
Douliu,23.7075,120.5439,106653
Miaoli,24.5700,120.8200,90963
Magong,23.5667,119.5833,56435
Taibao,23.4500,120.3333,35000
Banqiao,25.0143,121.4672,
Nangan,26.1598,119.9432,7382
Jincheng,24.4367,118.3183,
Zhushan,23.6889,120.7289,54870
Pozi,23.4611,120.2420,50000
Huatan,24.0316,120.5580,45907
Yuanchang,23.6420,120.3230,25840
Ershui,23.8167,120.6167,15240
