City,Latitude,Longitude,Population
Bangkok,13.7500,100.5167,17066000
Nonthaburi,13.8667,100.5167,255671
Pak Kret,13.9125,100.4978,184501
Hat Yai,7.0167,100.4667,159130
Chiang Mai,18.7889,98.9833,132634
Nakhon Ratchasima,14.9736,102.0831,134440
Surat Thani,9.1397,99.3306,130703
Udon Thani,17.4164,102.7500,130274
Phatthaya,12.9496,100.8930,115840
Khon Kaen,16.4297,102.8297,115928
Nakhon Si Thammarat,8.4333,99.9667,106322
Nakhon Sawan,15.7133,100.1353,86439
Phuket,7.8881,98.3975,77610
Ban Talat Rangsit,13.9870,100.6095,79319
Nakhon Pathom,13.8194,100.0581,78780
Ubon Ratchathani,15.2281,104.8594,79023
Phitsanulok,16.8158,100.2636,70871
Chiang Rai,19.9094,99.8275,70610
Songkhla,7.2061,100.5967,63834
Saraburi,14.5286,100.9114,61750
Rayong,12.6742,101.2789,61902
Yala,6.5397,101.2811,61250
Samut Sakhon,13.5486,100.2775,60103
Trang,7.5561,99.6114,60591
Ban Bang Kaeo,13.6371,100.6636,56949
Samut Prakan,13.6004,100.5964,51309
Phra Nakhon Si Ayutthaya,14.3550,100.5650,52952
Lampang,18.3000,99.5000,55044
Prachuap Khiri Khan,11.8067,99.7956,54018
Sakon Nakhon,17.1564,104.1456,53618
Maha Sarakham,16.1772,103.3008,52866
Bang Bua Thong,13.9099,100.4263,50141
Nong Khai,17.8842,102.7467,48274
Bang Kruai,13.8042,100.4755,42390
Pattani,6.8664,101.2508,44234
Si Sa Ket,15.1069,104.3294,42405
Narathiwat,6.4264,101.8231,41342
Ban Sai Ma Tai,13.8444,100.4829,30750
Chachoengsao,13.6903,101.0703,39570
Surin,14.8833,103.4931,39728
Chaiyaphum,15.8056,102.0311,36923
Ratchaburi,13.5367,99.8169,36339
Roi Et,16.0578,103.6514,35219
Phatthalung,7.6178,100.0778,35039
Kalasin,16.4333,103.5000,34437
Uttaradit,17.6256,100.0942,33930
Chumphon,10.4939,99.1800,33516
Mukdahan,16.5431,104.7228,33102
Ban Bang Krang,13.8442,100.4612,23010
Chon Buri,13.3611,100.9850,29961
Krabi,8.0592,98.9189,30499
Ban Krathum Lom,13.7482,100.3139,24237
Kanchanaburi,14.0194,99.5311,29581
Kamphaeng Phet,16.4811,99.5222,29178
Samut Songkhram,13.4097,100.0017,28493
Buri Ram,14.9942,103.1022,28613
Nakhon Phanom,17.4069,104.7808,26437
Suphan Buri,14.4675,100.1169,26164
Amnat Charoen,15.8500,104.6333,25858
Ban Khlong Ton Madua,13.6372,100.2967,22265
Krathum Baen,13.6519,100.2572,21904
Lop Buri,14.8000,100.6269,24166
Chanthaburi,12.6086,102.1039,23835
Satun,6.6147,100.0681,23612
Phetchaburi,13.1119,99.9458,23235
Phichit,16.4431,100.3467,22299
Loei,17.4903,101.7250,22339
Phetchabun,16.4169,101.1533,22121
Nong Bua Lamphu,17.2042,102.4444,21528
Nan,18.7833,100.7833,20595
Yasothon,15.7883,104.1506,20414
Phra Pradaeng,13.6590,100.5329,10190
Sing Buri,14.8911,100.4031,17843
Prachin Buri,14.0567,101.3739,17768
Sa Kaeo,13.8206,102.0589,17864
Tak,16.8711,99.1250,17565
Phayao,19.1653,99.9036,17467
Phrae,18.1436,100.1417,16668
Pathum Thani,13.9841,100.5512,13987
Ranong,9.9619,98.6389,16125
Nakhon Nayok,14.2031,101.2150,16195
Sukhothai,17.0142,99.8219,15618
Uthai Thani,15.3800,100.0250,15434
Ang Thong,14.5925,100.4572,13277
Lamphun,18.5803,99.0072,12595
Chai Nat,15.1872,100.1283,12541
Trat,12.2417,102.5125,10413
Phangnga,8.4644,98.5317,10412
Mae Hong Son,19.3011,97.9700,6526
Bueng Kan,18.3669,103.6552,4494
Ban Laem Chabang,13.0860,100.9247,77798
Ban Nong Prue,12.9227,100.9375,70594
Ban Suan,13.3616,100.9795,66092
Ko Samui,9.5157,99.9436,67265
Ban Lam Sam Kaeo,13.9726,100.6506,63271
Ban Map Ta Phut,12.7258,101.1722,60928
Hua Hin,12.5686,99.9578,59369
Khlong Luang,14.0649,100.6447,56128
Ban Om Noi,13.7001,100.3241,52457
Ban Plai Bua Phatthana,13.9032,100.3989,46274
Ban Bang Mae Nang,13.8815,100.3759,45974
Ban Saen Suk,13.2882,100.9144,45142
Singhanakhon,7.2389,100.5506,42423
Su-ngai Kolok,6.0297,101.9668,41590
Muban Phimon Rat,13.9189,100.3922,41498
Ban Bang Khu Lat,13.9134,100.3690,38758
Pak Chong,14.6796,101.3976,35736
Cha-am,12.7997,99.9669,35581
Ban Ang Sila,13.3364,100.9278,33053
Phra Phutthabat,14.7212,100.8047,34322
Ban Pak Phun,8.5391,99.9702,33407
Chum Phae,16.5431,102.1104,31597
Mae Sot,16.7101,98.5707,31530
Thung Song,8.1645,99.6804,30500
Ban Aranyik,16.8146,100.3051,29825
Ban Phai,16.0730,102.7362,28913
Warin Chamrap,15.2008,104.8612,28154
Ban Chang,12.7209,101.0669,27668
Ban Nong Sam Rong,17.4514,102.7650,27354
Kathu,7.9112,98.3475,26078
Betong,5.7731,101.0725,26640
Takhli,15.2667,100.3500,24563
Sattahip,12.6636,100.9036,23418
Ban Phru,6.9480,100.4794,23518
Si Racha,13.1744,100.9306,23400
Ban Mae Cho,18.9032,99.0041,23140
Wichian Buri,15.6565,101.1072,22995
Ban Piang Luang,19.6493,98.6352,22215
Ban Patong,7.8981,98.3047,20363
Nang Rong,14.6363,102.7746,21493
Wang Nam Yen,13.5004,102.1806,21301
Sadao,6.6386,100.4240,21086
Mae Sai,20.4266,99.8841,20699
Pak Phanang,8.3511,100.2019,20425
Ban Tha Kham,9.1059,99.2326,19939
Ban Na San,8.7997,99.3635,19801
Ban Bueng,13.3140,101.1114,19346
Kantharalak,14.6536,104.6278,19392
Ban Mae Kha Tai,18.7433,98.9640,18564
Tak Bai,6.2592,102.0530,18943
Tha Bo,17.8494,102.5858,18320
Sam Phran,13.7270,100.2153,17611
Sikhio,14.9000,101.7167,18209
Ban Thum,16.4523,102.7225,17564
Ban Pong,13.8174,99.8830,17298
Sawankhalok,17.3096,99.8266,17148
Ban Thung Tam Sao,6.9581,100.3207,16344
Aranyaprathet,13.6928,102.5017,16211
Ban Dung,17.6986,103.2613,15913
Si Satchanalai,17.4155,99.8152,15691
Ban Na Kham,14.0681,101.8125,15465
Ban Ton Pao,18.7591,99.0784,15175
Taphan Hin,16.2108,100.4188,15329
Thoen,17.6118,99.2160,15360
Bang Racham,14.8864,100.3235,14577
Sai Buri,6.7012,101.6181,14137
Det Udom,14.9060,105.0784,14264
Pak Thong Chai,14.7302,102.0263,14272
Bua Yai,15.5858,102.4337,14168
Dok Kham Tai,19.1612,99.9946,13450
Song Phi Nong,14.2306,100.0389,12926
Kaeng Khoi,14.5864,100.9967,12752
Kantang,7.4067,99.5150,12533
Lom Sak,16.7775,101.2468,12290
Tha Maka,13.9499,99.7530,11966
Wang Saphung,17.2995,101.7624,11992
Don Sak,9.3169,99.6944,11934
Kuchinarai,16.5318,104.0440,11753
Phon,15.8160,102.5998,11593
Ban Sam Khwai Phueak,13.8283,100.1041,10837
Phanat Nikhom,13.4458,101.1844,11032
Lang Suan,9.9519,99.0813,11250
Khlung,12.4547,102.2214,11073
Phibun Mangsahan,15.2482,105.2296,10842
Kranuan,16.7081,103.0811,10726
Tha Mai,12.6196,102.0112,9843
Photharam,13.6918,99.8531,9575
Ban Krot,14.3121,100.6005,9471
Takua Pa,8.8658,98.3413,8815
Bang Mun Nak,16.0278,100.3792,8756
Chumsaeng,15.8980,100.3110,8426
