City,Latitude,Longitude,Population
Port of Spain,10.6667,-61.5167,37074
Chaguanas,10.5144,-61.4075,83489
San Fernando,10.2833,-61.4667,55419
Couva,10.4167,-61.4500,48858
Tunapuna,10.6333,-61.3833,17650
Arima,10.6374,-61.2823,
Scarborough,11.1811,-60.7333,
Diego Martin,10.7208,-61.5662,
Point Fortin,10.1741,-61.6841,
Aranguez,10.6472,-61.4461,
Debe,10.2000,-61.4500,
Siparia,10.1453,-61.5074,
Princes Town,10.2718,-61.3710,
Sangre Grande,10.5667,-61.1333,
Rio Claro,10.3059,-61.1756,
Laventille,10.6500,-61.4833,21454
San Juan,10.6500,-61.4500,13797
