City,Latitude,Longitude,Population
Tunis,36.8008,10.1800,1200000
Sfax,34.7500,10.7200,453050
Sousse,35.8300,10.6250,327004
Gabes,33.9004,10.1000,219517
Zarzis,33.5104,11.1000,159161
Kairouan,35.6804,10.1000,144522
Bizerte,37.2904,9.8550,139843
Gafsa,34.4204,8.7800,126803
Nabeul,36.4603,10.7300,115149
Ariana,36.8667,10.2000,97687
Kasserine,35.1804,8.8300,81987
Monastir,35.7307,10.7673,71546
Tataouine,33.0000,10.4667,62577
Medenine,33.4000,10.4167,61705
Beja,36.7304,9.1900,59567
Jendouba,36.5000,8.7500,51408
El Kef,36.1826,8.7148,47979
Mahdia,35.4839,11.0409,45977
Sidi Bouzid,35.0167,9.5000,42098
Tozeur,33.9304,8.1300,39504
Siliana,36.0833,9.3833,26960
Kebili,33.6900,8.9710,19875
Zaghouan,36.4000,10.1470,16911
Ben Arous,36.7545,10.2217,
Manouba,36.8101,10.0956,
Ben Gardane,33.1404,11.2200,19843
Zaouiet Sousse,35.7887,10.6274,10740
Dehiba,32.0110,10.7028,4295
