City,Latitude,Longitude,Population
Istanbul,41.0100,28.9603,15154000
Ankara,39.9300,32.8500,5503985
Izmir,38.4127,27.1384,4320519
Bursa,40.1833,29.0667,2901396
Antalya,36.9081,30.6956,2426356
Konya,37.8714,32.4847,2232374
Adana,37.0000,35.3250,2220125
Gaziantep,37.0667,37.3833,2028563
Sanliurfa,37.1583,38.7917,1985753
Mersin,36.8000,34.6167,1814468
Diyarbakir,37.9108,40.2367,1732396
Kayseri,38.7333,35.4833,1389680
Samsun,41.2867,36.3300,1335716
Tekirdag,40.9833,27.5167,1029927
Denizli,37.7731,29.0878,963464
Eskisehir,39.7767,30.5206,871187
Trabzon,41.0050,39.7225,807903
Erzurum,39.9097,41.2756,767848
Malatya,38.3554,38.3337,461574
Batman,37.8833,41.1333,447106
Kahramanmaras,37.5875,36.9453,443575
Elazig,38.6667,39.2167,421726
Hatay,36.2000,36.1500,377793
Sivas,39.7500,37.0167,377561
Kocaeli,40.7656,29.9406,363416
Van,38.5019,43.4167,353419
Tarsus,36.9167,34.9000,339676
Balikesir,39.6511,27.8842,331788
Alanya,36.5436,31.9997,312319
Adiyaman,37.7644,38.2763,304615
Afyonkarahisar,38.7581,30.5386,299673
Iskenderun,36.5804,36.1700,297943
Aksaray,38.3686,34.0297,295351
Corum,40.5489,34.9533,294807
Inegol,40.0806,29.5097,268155
Kutahya,39.4242,29.9833,266784
Osmaniye,37.0750,36.2500,264373
Corlu,41.1597,27.8028,262862
Sakarya,40.7778,30.4028,260109
Isparta,37.7667,30.5500,258375
Kiziltepe,37.1939,40.5861,252656
Usak,38.6833,29.4000,252044
Manisa,38.6131,27.4258,243971
Duzce,40.8417,31.1583,240633
Nigde,37.9667,34.6792,224289
Bolu,40.7333,31.6000,205525
Tokat,40.3097,36.5542,201294
Kirikkale,39.8417,33.5139,196645
Viransehir,37.2306,39.7653,195910
Karaman,37.1833,33.2167,194018
Mus,38.7333,41.4911,193394
Aydin,37.8481,27.8453,191037
Canakkale,40.1500,26.4000,180823
Edirne,41.6781,26.5594,180327
Torbali,38.1619,27.3583,178772
Eregli,41.2583,31.4250,175605
Menemen,38.6000,27.0667,174564
Siirt,37.8417,41.9458,166332
Korfez,40.7706,29.7661,165503
Turgutlu,38.5000,27.7000,163223
Golcuk,40.6667,29.8333,162584
Salihli,38.4811,28.1392,161562
Bingol,38.8861,40.5017,160165
Talas,38.6833,35.5667,157695
Fethiye,36.6206,29.1142,157745
Erzincan,39.7464,39.4914,157452
Zonguldak,41.4304,31.7800,156918
Nazilli,37.9125,28.3206,156748
Ordu,40.9833,37.8833,155117
Bartin,41.6344,32.3375,155016
Bandirma,40.3542,27.9725,154359
Kirsehir,39.1450,34.1608,153511
Agri,39.7225,43.0544,149188
Amasya,40.6500,35.8333,149084
Kastamonu,41.3833,33.7833,148931
Luleburgaz,41.4056,27.3569,148037
Eregli,37.5058,34.0517,145389
Yalova,40.6556,29.2750,144407
Nevsehir,38.6250,34.7122,143194
Cizre,37.3250,42.1958,143124
Nizip,37.0104,37.7985,142389
Rize,41.0167,40.5167,141143
Igdir,39.9167,44.0333,137613
Giresun,40.9000,38.4167,135920
Odemis,38.2311,27.9719,132511
Karabuk,41.2000,32.6333,131989
Kozan,37.4507,35.8123,130495
Cayirova,40.8265,29.3745,129655
Unye,41.1271,37.2882,126702
Polatli,39.5842,32.1472,125075
Kadirli,37.3739,36.0961,124053
Patnos,39.2358,42.8686,122833
Samandag,36.0850,35.9806,121109
Dogubayazit,39.5500,44.0833,121263
Karatepe,40.6883,30.0144,118066
Kapakli,41.3333,27.9667,116882
Kilis,36.7167,37.1167,116034
Kusadasi,37.8586,27.2594,113580
Akcakale,36.7108,38.9478,113194
Burdur,37.7167,30.2833,113077
Kars,40.6069,43.0931,112260
Soma,39.1833,27.6056,108981
Kemalpasa,38.4261,27.4172,106298
Nusaybin,37.0833,41.2167,105856
Yozgat,39.8208,34.8083,105167
Bergama,39.1228,27.1783,103185
Kirklareli,41.7347,27.2253,102909
Cankiri,40.6000,33.6167,96025
Sirnak,37.5164,42.4611,93431
Mardin,37.3167,40.7378,86948
Bilecik,40.1431,29.9792,81723
Hakkari,37.5744,43.7408,81424
Bitlis,38.4000,42.1167,71501
Bayburt,40.2546,40.2260,66633
Sinop,42.0267,35.1511,64544
Gumushane,40.4597,39.4778,57269
Mugla,37.2167,28.3667,56619
Ardahan,41.1167,42.7000,42226
Tunceli,39.1061,39.5481,38504
Artvin,41.1822,41.8194,35081
Reyhanli,36.2692,36.5672,98534
Bafra,41.5682,35.9069,97452
Aliaga,38.7998,26.9720,95392
Marmaris,36.8564,28.2711,94247
Menderes,38.2540,27.1340,93796
Ceylanpinar,36.9194,39.9050,87684
Tire,38.0833,27.7333,84457
Soke,37.7512,27.4103,77341
Cinar,37.7256,40.4147,74207
Tatvan,38.5066,42.2816,73222
Islahiye,37.0264,36.6322,67674
Urla,38.3222,26.7647,66360
Bucak,37.4592,30.5950,64943
Caldiran,39.1419,43.9139,63013
