City,Latitude,Longitude,Population
Ashgabat,37.9500,58.3833,1031992
Turkmenabat,39.1000,63.5667,408906
Dasoguz,41.8167,59.9831,227184
Mary,37.6000,61.8333,208682
Balkanabat,39.5119,54.3650,89785
Anew,37.8875,58.5160,
Serdar,38.9764,56.2758,89582
Turkmenbasy,40.0230,52.9697,68292
Tejen,37.3786,60.4960,67294
Abadan,38.0517,58.2100,40813
Kaka,37.3503,59.6000,38381
Atamyrat,37.8167,65.2000,38350
Koneurgench,42.3167,59.1586,36754
Gazojak,41.1833,61.4000,24251
Seydi,39.4817,62.9136,20491
Serhetabat,35.2833,62.3500,14940
Tagta,41.6500,59.9000,11501
Sarahs,36.5167,61.2167,9585
Magtymguly,38.4333,56.2833,8412
Darganata,40.4833,62.1667,7212
Karabogaz,41.5397,52.5700,6895
Halac,38.0686,64.8811,5101
Celeken,39.4362,53.1226,1206
