City,Latitude,Longitude,Population
Kampala,0.3136,32.5811,1659600
Mbale,1.0806,34.1750,402368
Arua,3.0300,30.9100,250000
Tororo,0.6928,34.1808,150000
Gulu,2.7667,32.3056,146858
Lira,2.2604,32.8900,135445
Mbarara,-0.5996,30.6500,83700
Jinja,0.4431,33.2128,72931
Kasese,0.2300,29.9883,67269
Masaka,-0.3296,31.7300,65373
Kitgum,3.3004,32.8700,56891
Busia,0.4669,34.0900,47100
Iganga,0.6092,33.4686,45024
Kabale,-1.2496,29.9800,44600
Fort Portal,0.6710,30.2750,42670
Mityana,0.4004,32.0500,41131
Adjumani,3.3614,31.8097,34700
Masindi,1.6744,31.7150,31486
Pallisa,1.1450,33.7094,30745
Nebbi,2.4758,31.1025,30354
Moyo,3.6504,31.7200,22434
Kayunga,0.7025,32.8886,21704
Mubende,0.5904,31.3700,18936
Pakwach,2.4500,31.5000,17541
Kamuli,0.9472,33.1197,12764
Ntungamo,-0.8794,30.2642,16400
Kiboga,0.9161,31.7742,14512
Sironko,1.2294,34.2481,14100
Kisoro,-1.3539,29.6983,12900
Kumi,1.4608,33.9361,13000
Mpigi,0.2250,32.3136,11082
Katakwi,1.8911,33.9661,8400
Soroti,1.6833,33.6167,1038
Koboko,3.4136,30.9599,
Nakasongola,1.3089,32.4564,6921
Kalangala,-0.3089,32.2250,5200
Bugiri,0.5714,33.7417,
Kaberamaido,1.7389,33.1594,3400
Moroto,2.5403,34.6400,371
Kaabong,3.5204,34.1200,1137
Kapchorwa,1.3965,34.4509,
Bundibugyo,0.7085,30.0634,
Hoima,1.4356,31.3436,
Mukono,0.3533,32.7553,
Yumbe,3.4651,31.2469,
Kasaali,-0.6167,31.5500,
Bududa,1.0112,34.3311,
Wakiso,0.4044,32.4594,
Lyantonde,-0.4031,31.1572,
Mayuge,0.4578,33.4806,
Bulambuli,1.1667,34.3833,
Maracha,3.2704,30.9553,
Luwero,0.8492,32.4731,
Namayingo,0.2398,33.8849,
Luuka Town,0.7008,33.3002,
Kibuku,1.0433,33.7975,
Bupoto,0.9061,34.3578,
Apac,1.9845,32.5340,
Rubirizi,-0.2989,30.1336,
Busesa,0.6263,33.6003,
Buikwe,0.3375,33.0106,
Kagadi,0.9378,30.8089,
Bushenyi,-0.5853,30.2114,
Kaliro,0.8949,33.5048,
Butebo,1.1942,33.9222,
Namutumba,0.8363,33.6858,
Manafwa,0.9784,34.3743,
Ibanda,-0.1539,30.5319,
Rukungiri,-0.8411,29.9419,
Gombe,0.1818,32.1158,
Kyenjojo,0.6328,30.6214,
Mitoma,-0.6842,30.0700,
Kalungu,-0.1667,31.7569,
Bukomansimbi,-0.1578,31.6042,
Rubanda,-1.1883,29.8461,
Butaleja,0.9166,33.9563,
Serere,1.5180,33.4589,
Amuria,2.0036,33.6511,
Nsiika,-0.3831,30.4650,
Kibiito,0.4772,30.1925,
Kibingo,-0.6260,30.4359,
Bukedea,1.3169,34.0506,
Ntara,0.0044,30.3658,
Binyin,1.4167,34.5333,
Mparo,-1.1647,30.0378,
Kinoni,-0.6583,30.4581,
Kole,2.4002,32.8003,
Zombo,2.5135,30.9091,
Rakai,-0.7200,31.4839,
Lwengo,-0.4161,31.4081,
Bukwo,1.3000,34.7500,
Kasanda,0.5567,31.8022,
Dokolo,1.9167,33.1720,
Kamwenge,0.2111,30.4208,
Ngora,1.4314,33.7772,
Alebtong,2.2447,33.2547,
Kanungu,-0.9575,29.7897,
Kanoni,0.1772,31.8811,
Oyam,2.2141,32.3703,
Sembabule,-0.0772,31.4567,
Kakumiro,0.7806,31.3236,
Buyende,1.1517,33.1550,
Kalaki,1.8160,33.3370,
Isingiro,-0.8686,30.8302,
Kyegegwa,0.5022,31.0414,
Butalangu,0.7011,32.2481,
Amolatar,1.6378,32.8448,
Lamwo,3.5297,32.8016,
Palenga,2.6131,32.3369,
Kotido,2.9806,34.1331,
Pader,3.0500,33.2167,
Agago,2.8338,33.3336,
Bulisa,2.1178,31.4116,
Amudat,1.9500,34.9500,
Nabilatuk,2.0525,34.5734,
Napak,2.2514,34.2501,
Kiryandongo,1.8763,32.0622,
Kiruhura,-0.2356,30.8725,
Abim,2.7017,33.6761,
Ntoroko,1.0411,30.4811,
Otuke,2.5004,33.5007,
Amuru,2.8139,31.9387,
Nakapiripirit,1.9167,34.7833,
Kyankwanzi,1.1987,31.8062,
Nwoya,2.6342,32.0011,
Kitamilo,0.2222,33.2061,
Bombo,0.5833,32.5333,75000
Entebbe,0.0500,32.4600,69958
Katwe,-0.1296,29.9200,1957
Masindi Port,1.7004,32.0699,8319
