City,Latitude,Longitude,Population
Kyiv,50.4500,30.5236,2967000
Kharkiv,50.0000,36.2292,1446107
Odesa,46.4775,30.7326,1010783
Dnipro,48.4500,34.9833,983836
Donetsk,48.0089,37.8042,929063
Zaporizhzhia,47.8378,35.1383,741717
Lviv,49.8419,24.0315,724314
Kryvyy Rih,47.9086,33.3433,629695
Mykolaiv,46.9667,32.0000,498748
Mariupol,47.1306,37.5639,449498
Sevastopol,44.6000,33.5333,428753
Luhansk,48.5833,39.3333,417990
Vinnytsia,49.2372,28.4672,371855
Makiivka,48.0556,37.9611,347376
Simferopol,44.9484,34.1000,341799
Poltava,49.5744,34.5686,317847
Chernihiv,51.5000,31.3000,294522
Kherson,46.6333,32.6000,291428
Cherkasy,49.4444,32.0597,276360
Khmelnytskyi,49.4200,27.0000,274176
Zhytomyr,50.2544,28.6578,266936
Chernivtsi,48.2908,25.9344,266550
Sumy,50.9068,34.7992,265758
Horlivka,48.3336,38.0925,256714
Rivne,50.6197,26.2514,245630
Ivano-Frankivsk,48.9228,24.7106,236602
Kremenchuk,49.0775,33.4239,234073
Kamianske,48.5076,34.6132,235066
Kropyvnytskyi,48.5103,32.2667,227413
Ternopil,49.5667,25.6000,218653
Lutsk,50.7478,25.3244,216505
Bila Tserkva,49.7956,30.1167,208944
Kramatorsk,48.7208,37.5556,159445
Melitopol',46.8333,35.3667,154992
Sievierodonetsk,48.9500,38.4833,150000
Kerch,45.3386,36.4681,149566
Khrustalnyi,48.1214,38.9453,124000
Uzhhorod,48.6239,22.2950,114897
Berdyans'k,46.7598,36.7845,114205
Sloviansk,48.8700,37.6250,113196
Nikopol',47.5772,34.3575,112102
Pavlohrad,48.5200,35.8700,106082
Yevpatoriya,45.2000,33.3583,106158
Alchevsk,48.4672,38.7983,105398
Brovary,50.5114,30.7903,102856
Konotop,51.2369,33.2027,103547
Lysychansk,48.9169,38.4306,103459
Kam'yanets'-Podil's'kyy,48.6806,26.5806,100462
Drohobych,49.3500,23.5000,98015
Mukacheve,48.4414,22.7136,86257
Uman',48.7500,30.2167,82762
Chervonohrad,50.3822,24.2275,82395
Khartsyzk,48.0333,38.1500,59763
Stryy,49.2500,23.8500,59325
Chornomors'k,46.3017,30.6569,59800
Novohrad-Volynskyi,50.5833,27.6333,56288
Myrnohrad,48.3022,37.2614,50360
Rovenky,48.0833,39.3667,46734
Myrhorod,49.9640,33.6124,40160
Bucha,50.5464,30.2350,35162
Chuhuiv,49.8353,36.6756,33144
Sukhodilsk,48.3500,39.7167,21324
Hirnyk,48.0500,37.3667,11378
Dovzhansk,48.0846,39.6516,95153
Yalta,44.4994,34.1553,79458
Yenakiieve,48.2311,38.2053,79348
Bakhmut,48.6044,38.0067,75798
Shostka,51.8657,33.4766,76788
Stakhanov,48.5472,38.6361,75745
Berdychiv,49.8919,28.6000,76229
Nizhyn,51.0500,31.9000,73283
Kostiantynivka,48.5333,37.7167,72888
Izmayil,45.3500,28.8333,71594
Novomoskovs'k,48.6328,35.2239,70749
Kovel',51.2167,24.7167,69089
Smila,49.2167,31.8667,68536
Nova Kakhovka,46.7667,33.3667,69280
Feodosiya,45.0489,35.3792,67993
Kalush,49.0442,24.3597,66406
Korosten,50.9500,28.6500,63525
Pokrovsk,48.2833,37.1833,63437
Kolomyya,48.5167,25.0333,61269
Boryspil',50.3500,30.9500,62281
Rubizhne,49.0167,38.3667,59951
Druzhkivka,48.6203,37.5278,59400
Bilhorod-Dnistrovs'kyy,46.1833,30.3333,57210
Irpin',50.5167,30.2500,56806
