City,Latitude,Longitude,Population
New York,40.6943,-73.9249,18713220
Los Angeles,34.1139,-118.4068,12750807
Chicago,41.8373,-87.6862,8604203
Miami,25.7839,-80.2102,6445545
Dallas,32.7936,-96.7662,5743938
Philadelphia,40.0077,-75.1339,5649300
Houston,29.7863,-95.3889,5464251
Atlanta,33.7627,-84.4224,5449398
Washington,38.9047,-77.0163,5379184
Boston,42.3188,-71.0846,4688346
Phoenix,33.5722,-112.0891,4219697
Seattle,47.6211,-122.3244,3789215
San Francisco,37.7562,-122.4430,3592294
Detroit,42.3834,-83.1024,3506126
San Diego,32.8312,-117.1225,3220118
Minneapolis,44.9635,-93.2678,2977172
Tampa,27.9942,-82.4451,2908063
Denver,39.7621,-104.8759,2876625
Brooklyn,40.6501,-73.9496,2559903
Queens,40.7498,-73.7976,2230722
Riverside,33.9381,-117.3948,2107852
Baltimore,39.3051,-76.6144,2106068
Las Vegas,36.2333,-115.2654,2104198
Portland,45.5372,-122.6500,2074775
San Antonio,29.4658,-98.5253,2049293
St. Louis,38.6358,-90.2451,2024074
Sacramento,38.5667,-121.4683,1898019
Orlando,28.4772,-81.3369,1822394
San Jose,37.3019,-121.8486,1798103
Cleveland,41.4767,-81.6804,1710093
Pittsburgh,40.4396,-79.9762,1703266
Austin,30.3004,-97.7522,1687311
Cincinnati,39.1413,-84.5061,1662691
Kansas City,39.1239,-94.5541,1636715
Manhattan,40.7834,-73.9662,1628706
Indianapolis,39.7771,-86.1458,1588961
Columbus,39.9862,-82.9850,1562009
Charlotte,35.2080,-80.8304,1512923
Virginia Beach,36.7335,-76.0435,1478868
Bronx,40.8501,-73.8662,1418207
Milwaukee,43.0642,-87.9673,1365787
Providence,41.8230,-71.4187,1203230
Jacksonville,30.3322,-81.6749,1181496
Salt Lake City,40.7777,-111.9306,1098526
Nashville,36.1715,-86.7843,1081903
Richmond,37.5295,-77.4756,1075798
Memphis,35.1046,-89.9773,1066967
Raleigh,35.8325,-78.6435,1038738
New Orleans,30.0687,-89.9288,1020886
Louisville,38.1663,-85.6485,1005654
Oklahoma City,35.4676,-97.5136,972943
Bridgeport,41.1918,-73.1953,924449
Buffalo,42.9016,-78.8487,914341
Fort Worth,32.7811,-97.3473,909585
Hartford,41.7661,-72.6834,905152
Tucson,32.1545,-110.8782,888486
Omaha,41.2627,-96.0522,847819
El Paso,31.8479,-106.4309,843386
Honolulu,21.3294,-157.8460,820987
McAllen,26.2273,-98.2471,804114
Hempstead,40.6629,-73.6089,768057
Albuquerque,35.1053,-106.6464,761195
Birmingham,33.5277,-86.7987,739573
Sarasota,27.3386,-82.5431,722243
Dayton,39.7797,-84.1998,718353
Rochester,43.1680,-77.6162,703952
Fresno,36.7831,-119.7941,703498
Allentown,40.5961,-75.4756,683794
Tulsa,36.1284,-95.9042,671033
Cape Coral,26.6446,-81.9956,668382
Concord,37.9722,-122.0016,652308
Colorado Springs,38.8674,-104.7606,642413
Charleston,32.8153,-79.9628,628377
Springfield,42.1155,-72.5395,623401
Grand Rapids,42.9620,-85.6562,609314
Mission Viejo,33.6095,-117.6550,590249
Albany,42.6664,-73.7987,586383
