City,Latitude,Longitude,Population
Montevideo,-34.8667,-56.1667,1319108
Punta del Este,-34.9700,-54.9500,159000
Salto,-31.3883,-57.9606,124878
Ciudad de la Costa,-34.8167,-55.9500,112449
Rivera,-30.9025,-55.5506,78900
Paysandu,-32.3200,-58.0756,76429
Las Piedras,-34.7167,-56.2167,71268
Maldonado,-34.9088,-54.9581,62592
Melo,-32.3595,-54.1800,55494
Tacuarembo,-31.7100,-55.9800,54277
Mercedes,-33.2500,-58.0319,41974
Artigas,-30.4667,-56.4667,40658
Minas,-34.3667,-55.2333,38446
San Jose,-34.3333,-56.7167,36747
Florida,-34.1000,-56.2167,33640
Durazno,-33.3833,-56.5167,34372
Barros Blancos,-34.7542,-56.0042,31650
Pando,-34.7167,-55.9583,25949
Treinta y Tres,-33.2308,-54.3822,25477
Rocha,-34.4833,-54.3500,25422
Colonia del Sacramento,-34.4714,-57.8442,26231
Fray Bentos,-33.1333,-58.3000,24406
Canelones,-34.5380,-56.2840,19698
Bella Union,-30.2600,-57.5992,19100
Carmelo,-33.9999,-58.2847,18041
Santa Lucia,-34.4525,-56.3964,16742
Dolores,-33.5333,-58.2167,15753
Nueva Palmira,-33.8700,-58.4080,9857
Chuy,-33.6833,-53.4500,9675
Rosario,-34.3139,-57.3525,9311
Lascano,-33.6731,-54.2078,7645
Castillos,-34.1989,-53.8575,7541
Sauce,-34.6469,-56.0628,6132
Tala,-34.3436,-55.7617,5089
Trinidad,-33.5333,-56.8833,21429
Colonia Nicolich,-34.8161,-56.0244,14686
Rio Branco,-32.5969,-53.3850,14604
Paso de los Toros,-32.8181,-56.5064,12985
Nueva Helvecia,-34.2889,-57.2333,10630
Salinas,-34.7751,-55.8402,8626
Parque del Plata,-34.7667,-55.7167,7896
San Ramon,-34.2914,-55.9542,7133
San Jacinto,-34.5444,-55.8719,7000
Sarandi del Yi,-33.3442,-55.6313,7176
Sarandi Grande,-33.7250,-56.3303,6130
Tranqueras,-31.1833,-55.7667,7235
Atlantida,-34.7701,-55.7613,5562
Jose Pedro Varela,-33.4500,-54.5333,5118
Pan de Azucar,-34.8000,-55.2167,6597
Guichon,-32.3500,-57.2000,5025
La Paloma,-34.6700,-54.1700,3230
Vergara,-32.9500,-53.9333,3810
Baltasar Brum,-30.7300,-57.3200,2517
Aigua,-34.2000,-54.7500,2692
Jose Batlle y Ordonez,-33.4700,-55.1200,2438
