City,Latitude,Longitude,Population
Caracas,10.5000,-66.9333,1943901
Maracaibo,10.6333,-71.6333,1551539
Valencia,10.1667,-68.0000,1484430
Barquisimeto,10.0678,-69.3467,1059092
Barinas,8.6333,-70.2167,873962
Ciudad Guayana,8.3596,-62.6517,751331
San Cristobal,7.7682,-72.2322,743924
Catia La Mar,10.6000,-67.0333,661897
Ciudad Bolivar,8.1167,-63.5500,567953
Maturin,9.7457,-63.1832,542259
Santa Teresa del Tuy,10.2333,-66.6500,525321
Barcelona,10.1333,-64.6833,448016
Maracay,10.2469,-67.5958,407109
Cumana,10.4500,-64.1667,374706
Cabimas,10.4000,-71.4333,351735
Puerto La Cruz,10.2167,-64.6167,306261
Merida,8.5833,-71.1333,300000
Punto Fijo,11.7167,-70.1833,287558
Coro,11.3950,-69.6816,284266
La Guaira,10.6000,-66.9331,275000
Turmero,10.2283,-67.4753,254880
Los Teques,10.3411,-67.0406,251200
El Tigre,8.8858,-64.2611,236566
San Felipe,10.3353,-68.7458,220786
Cua,10.1667,-66.8833,214823
La Victoria,10.2278,-67.3336,214492
Guarenas,10.4739,-66.5383,208663
Puerto Cabello,10.4667,-68.0167,209080
Tocuyito,10.0889,-68.0922,197446
Acarigua,9.5597,-69.2019,195637
Guacara,10.2261,-67.8770,194009
San Fernando,7.8940,-67.4730,194274
Guanare,9.0436,-69.7489,192644
Valera,9.3200,-70.6200,191167
Araure,9.5667,-69.2167,188800
Guatire,10.4717,-66.5406,187262
San Diego,10.2558,-67.9539,187215
Carupano,10.6722,-63.2403,173877
Anaco,9.4333,-64.4667,162704
Palo Negro,10.1600,-67.5582,153706
Ocumare del Tuy,10.1136,-66.7814,150000
Villa de Cura,10.0386,-67.4894,145098
Yaritagua,10.0800,-69.1261,140256
Calabozo,8.9219,-67.4283,131989
Los Guayos,10.1833,-67.9333,130345
Tariba,7.8167,-72.2167,128590
Guasdualito,7.2467,-70.7292,128025
Cagua,10.1831,-67.4500,122571
Porlamar,10.9556,-63.8478,120924
Machiques,10.0667,-72.5667,122734
Ciudad Ojeda,10.2000,-71.3000,122124
San Carlos,9.6500,-68.5833,120000
Charallave,10.2431,-66.8622,117707
Valle de La Pascua,9.2033,-66.0103,115902
Santa Lucia,10.2606,-66.6639,112357
Carora,10.1755,-70.0828,112600
Quibor,9.9281,-69.5778,110536
Tinaquillo,9.9167,-68.3000,110000
El Limon,10.3059,-67.6321,106206
Socopo,8.2322,-70.8206,101512
San Juan de los Morros,9.9010,-67.3540,87739
Tucupita,9.0575,-62.0452,86487
Puerto Ayacucho,5.6631,-67.6264,80000
Lecherias,10.1889,-64.6951,37829
Trujillo,9.3667,-70.4331,38110
La Asuncion,11.0333,-63.8833,35084
Rubio,7.7000,-72.3500,95041
Cantaura,9.3005,-64.3564,89552
La Grita,8.1333,-71.9833,88450
Maiquetia,10.5958,-66.9772,87909
San Carlos del Zulia,9.0000,-71.9500,80000
Cabudare,10.0331,-69.2633,70578
Caripito,10.1110,-63.1048,64955
Zaraza,9.3394,-65.3167,62027
San Antonio del Tachira,7.8145,-72.4431,61630
Upata,8.0204,-62.4100,53685
Sanare,9.7822,-69.7931,48764
El Tocuyo,9.7822,-69.7931,41327
Altagracia de Orituco,9.8504,-66.3800,40052
Santa Rita,10.5367,-71.5108,31810
Sabaneta,8.7522,-69.9325,27850
Puerto Piritu,10.0667,-65.0500,25981
Chaguarama,9.2159,-63.7523,15000
Tucacas,10.7978,-68.3175,13901
Onoto,9.5958,-65.1897,11378
San Jose de Aerocuar,10.6014,-63.3278,11162
Mucuchies,8.7500,-70.9167,5900
Mapire,7.7411,-64.7107,5326
El Dorado,6.7167,-61.6167,2383
La Esmeralda,3.1738,-65.5466,150
El Manteco,7.3504,-62.5333,2215
