City,Latitude,Longitude,Population
Ho Chi Minh City,10.8167,106.6333,13312000
Hanoi,21.0245,105.8412,7785000
Haiphong,20.8000,106.6667,2103500
Can Tho,10.0333,105.7833,1237300
Bien Hoa,10.9575,106.8426,1104000
Quang Ha,16.0600,108.2500,1000000
Bac Ninh,21.1861,106.0763,520000
Hai Duong,20.9411,106.3331,507469
Vinh,18.6733,105.6922,490000
Hue,16.4667,107.5833,455230
Thanh Hoa,19.8075,105.7764,393294
Nha Trang,12.2500,109.1833,392279
Nam Dinh,20.4200,106.1683,352108
Buon Ma Thuot,12.6667,108.0500,340000
Thai Nguyen,21.6000,105.8500,330000
Vung Tau,10.4042,107.1417,327000
Ca Mau,9.1833,105.1500,315270
Quy Nhon,13.7765,109.2237,311000
Soc Trang,9.6000,105.9719,300000
Long Xuyen,10.3686,105.4234,278658
Viet Tri,21.3228,105.4019,277539
Thai Binh,20.4461,106.3422,268167
Quang Ngai,15.1206,108.7922,260252
Ap Da Loi,11.9304,108.4200,256019
Rach Gia,10.0125,105.0808,250660
Thu Dau Mot,11.0042,106.6583,244277
Tuy Hoa,13.0875,109.3106,242840
Bac Lieu,9.2833,105.7167,225000
Sa Dec,10.3105,105.7397,213610
Phan Thiet,10.9375,108.1583,205333
Son Tay,21.1382,105.5050,189547
Phan Rang-Thap Cham,11.5643,108.9886,179773
Ha Long,20.9500,107.0833,172915
Ha Tinh,18.3428,105.9058,165396
Dong Hoi,17.4833,106.6000,160325
Chau Doc,10.7000,105.1167,157298
Cam Pha,21.0071,107.2845,156000
Cao Lanh,10.4603,105.6331,149837
Lang Son,21.8478,106.7578,148000
Cam Ranh,11.9020,109.2207,146771
Pleiku,13.9833,108.0000,142900
Tan An,10.5322,106.4042,137498
Tra Vinh,9.9369,106.3411,131360
Ninh Binh,20.2539,105.9750,130517
My Tho,10.3500,106.3500,124143
Tay Ninh,11.3131,106.0963,126370
Cam Ranh,11.9136,109.1369,125311
Hoi An,15.8733,108.3327,121716
Hoa Binh,20.8172,105.3375,121309
Vinh Long,10.2550,105.9753,103314
Yen Bai,21.7000,104.8667,96540
Vi Thanh,9.7833,105.4708,97200
Quang Tri,16.7504,107.2000,72722
Lao Cai,22.4194,103.9950,67206
Ben Tre,10.2333,106.3833,59442
Bac Giang,21.2731,106.1947,53728
Cao Bang,22.6731,106.2500,41112
Ha Giang,22.8233,104.9836,38362
Tuyen Quang,21.8281,105.2156,36430
Bac Kan,22.1333,105.8333,29227
Son La,21.3270,103.9141,19054
Dong Ha,16.8056,107.0906,17662
Da Nang,16.0748,108.2240,
Hung Yen,20.6464,106.0511,
Phu Ly,20.5453,105.9122,
Vinh Yen,21.3100,105.5967,
Tam Ky,15.5667,108.4833,
Dien Bien Phu,21.3833,103.0169,
Dong Xoai,11.5349,106.8832,
Da Lat,11.9359,108.4429,
Lai Chau,22.3991,103.4393,
Kon Tum,14.3417,107.9792,
Gia Nghia,12.0042,107.6907,
Phu Quoc,10.2289,103.9572,70000
Binh Long,11.6504,106.6000,40279
Luan Chau,21.7400,103.3430,7335
