City,Latitude,Longitude,Population
Lusaka,-15.4167,28.2833,1742979
Ndola,-12.9683,28.6337,528330
Kitwe,-12.8208,28.2119,504194
Kasama,-10.1996,31.1799,200000
Kashikishi,-9.3172,28.7331,150000
Chingola,-12.5447,27.8708,147448
Nchelenge,-9.3467,28.7344,147927
Livingstone,-17.8500,25.8667,136897
Mansa,-11.1822,28.8833,129185
Mufulira,-12.5546,28.2604,122336
Kabwe,-14.4333,28.4500,117517
Luanshya,-13.1333,28.4000,117579
Chipata,-13.6386,32.6453,98416
Solwezi,-12.1833,26.4000,65000
Mongu,-15.2796,23.1200,52534
Choma,-16.8095,26.9700,46746
Chinsali,-10.5496,32.0600,14015
Chililabombwe,-12.3667,27.8333,90530
Mazabuka,-15.8600,27.7600,64006
Kafue,-15.7800,28.1800,47554
Kapiri Mposhi,-13.9696,28.6600,37942
Mpika,-11.8300,31.4600,28445
Mbala,-8.8400,31.3700,20570
Kawambwa,-9.7795,29.0800,20589
Sesheke,-17.4806,24.3064,20149
Mumbwa,-14.9796,27.0700,19086
Kaoma,-14.7796,24.8000,14212
Mwinilunga,-11.7396,24.4400,13798
Lundazi,-12.2895,33.1700,11635
Senanga,-16.1196,23.2700,10005
Kalabo,-14.9896,22.6800,7731
Zambezi,-13.5400,23.1099,7074
Kasempa,-13.4596,25.8200,5622
Lukulu,-14.3896,23.2400,3349
Nyimba,-14.5495,30.8100,1336
