City,Latitude,Longitude,Population
Harare,-17.8292,31.0522,1606000
Bulawayo,-20.1667,28.5667,653337
Chitungwiza,-18.0000,31.1000,340360
Mutare,-18.9728,32.6694,188243
Gweru,-19.4580,29.8200,141260
Masvingo,-20.0744,30.8328,72527
Chinhoyi,-17.3500,30.2000,56794
Marondera,-18.1833,31.5500,52283
Bindura,-17.3000,31.3333,46275
Gwanda,-20.9450,29.0250,14450
Lupane,-18.9315,27.8070,
Kwekwe,-18.9167,29.9833,93072
Kadoma,-18.3500,29.9167,79174
Hwange,-18.3647,26.5000,42581
Beitbridge,-22.2167,30.0000,41767
Zvishavane,-20.3296,30.0500,35896
Victoria Falls,-17.9333,25.8333,33060
Redcliff,-19.0333,29.7833,32346
Chiredzi,-21.0496,31.6600,28205
Karoi,-16.8196,29.6800,25030
Kariba,-16.5333,28.8000,24210
Ruwa,-17.8897,31.2447,22038
Shamva,-17.3196,31.5700,10317
Chivhu,-19.0211,30.8922,10263
Plumtree,-20.4869,27.8042,2148
Mazoe,-17.5196,30.9700,9966
